Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Acelab,https://www.linkedin.com/in/vardhan-acelab,https://acelabusa.com/,Seed,"Jul 11, 2023",,
ALOHA,https://cy.linkedin.com/in/frostaloha,https://aloha.com/?srsltid=AfmBOopzdhY6unFdxnk_k__dvRJJGqLUlQxYK2CbCNnUGBgsX29Maukh,Series a,"Mar 22, 2024",,
Amplio,https://www.linkedin.com/in/trey-closson-11218521,https://www.getamplio.com/,Seed,Seed,,
Animoca Brands,https://hk.linkedin.com/in/alanlau999,https://www.animocabrands.com/,https://www.crunchbase.com/organization/animoca-brands-kk,,,
Arrive,https://www.linkedin.com/in/jared-kaplan-58230711,https://arriveoutdoors.com/,Seed,Seed,,
Belay,https://no.linkedin.com/in/jorgehv/en,https://www.withbelay.com/,https://www.crunchbase.com/organization/wolf-financial/org_similarity_overview,,,
BinStar,https://www.linkedin.com/in/ben-weiss-62865a,https://www.retailbrew.com/stories/2024/06/03/how-binstar-is-turning-other-retailers-returns-into-a-thriving-store-concept,Seed,"Nov 14, 2023",,
Bonus Homes,https://www.linkedin.com/in/kylekamrooz,https://www.bonushomes.com/,https://www.crunchbase.com/organization/bonus-ffb0,,,
Bowery,https://www.linkedin.com/in/irvingfain,https://www.boweryvaluation.com/,Seed,"Jul 18, 2023",,
Brad’s Plant Based Snacks,https://www.linkedin.com/in/arthurjpergament,https://bradsplantbased.com/,https://www.crunchbase.com/organization/brad-s-plant-based,,,
Carbon Title,https://www.linkedin.com/in/trevordryer,https://www.prnewswire.com/news-releases/carbon-title-challenges-real-estate-industry-to-decarbonize-before-its-too-late-unveils-platform-to-motivate-change-through-radical-transparency-301624898.html,https://www.crunchbase.com/organization/carbon-title,,,
Chicory,https://www.linkedin.com/in/yunibakersaito,https://chicory.co/,Seed,"Sep 10, 2024",,
ClassPass,https://www.linkedin.com/in/payalkadakia,https://classpass.com/plans,Seed,"Jan 8, 2020",,
ClassWallet,https://www.linkedin.com/in/classwalletceo,https://classwallet.com/,Seed,"Aug 15, 2023",,
CoLife,https://www.linkedin.com/in/ilnara-muzafiarova-589862229,https://www.letscolife.com/,https://www.crunchbase.com/organization/colife-e3fd/org_similarity_overview,,,
Coa,https://www.linkedin.com/in/david-alexander-659404148,https://www.joincoa.com/,Seed,Seed,,
Compass,https://www.linkedin.com/in/robertreffkin,https://www.compass.com/about/,https://news.crunchbase.com/public/compass-is-funded-like-a-tech-company-is-it-one-though/,,,
Core,https://www.linkedin.com/in/jennie-enterprise-777998252,https://www.amazon.com/Core-Meditation-Trainer-Relaxation-Wellness/dp/B08N9Y2J2F,Seed,"May 16, 2019",,
Crexi,https://www.linkedin.com/in/michaeldegiorgio,https://www.crexi.com/properties/Business-for-Sale,Seed,"Apr 25, 2024",,
Daze,https://www.linkedin.com/in/willem-simons-60a176124,https://www.instagram.com/daze.chat/?hl=es,https://news.crunchbase.com/startups/startups-to-watch-videopeel-joshin-opus-pocketlist/,,,
Diamond Age,https://www.linkedin.com/in/jackoslan,https://www.diamondage3d.com/,https://www.crunchbase.com/organization/diamond-age/company_overview/overview_timeline,,,
Doorkee,https://www.linkedin.com/in/johnjamesfagan,https://www.instagram.com/doorkee/,Seed,"Dec 27, 2021",,
EarlyDay,https://www.linkedin.com/in/tranmelissa,https://www.earlyday.com/careers,Seed,"Sep 2, 2022",,
Emerge,https://www.linkedin.com/in/andrew-leto-6545584,http://www.emergereality.com/index.html,https://www.crunchbase.com/organization/emerge-5ed8/org_similarity_overview,,,
