Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Luwjistik,https://my.linkedin.com/in/syed-ali-ridha-madihid-38a09887,https://luwjistik.com/,Seed,"Mar 31, 2022",,
GoCement,https://id.linkedin.com/in/djonnysuwanto,https://www.gocement.com/,https://www.crunchbase.com/organization/gocement,,,
Delos,https://www.linkedin.com/in/paul-scialla,https://es.wikipedia.org/wiki/Delos,Series a,"Mar 22, 2024",,
AgriAku,https://id.linkedin.com/in/irvan-kolonas-b6a77750,https://agriaku.com/,Seed,"Nov 29, 2022",,
Jutsoo,https://id.linkedin.com/in/mariogaw,https://www.jutsoo.com/,https://www.crunchbase.com/organization/jutsu,,,
Pitik,https://id.linkedin.com/in/arief-witjaksono-a68621151,https://open.spotify.com/intl-es/artist/7eiZ6RsSFcN0o3soN6ZRPu,Seed,"May 19, 2022",,
Fishlog,https://id.linkedin.com/in/bayumuktianggara,https://fishlog.co.id/,Seed,"Apr 2, 2024",,
Kecilin,https://id.linkedin.com/in/siswanirfandi,https://kecilin.id/,Seed,Seed,,
Binaloka,https://id.linkedin.com/in/cynthia-vannesa-8a8011313,https://www.instagram.com/binaloka_institute/,,Seed,,
Bebas Invest,https://id.linkedin.com/in/kevin-giarto-8ba72059,https://bebasinvestasi.com/en,Pre-seed,"Apr 24, 2024",,
Packworks,https://ph.linkedin.com/in/ibbabernardo,https://packworks.io/,Seed,"Jul 11, 2024",,
Runchise,https://id.linkedin.com/in/daniel-witono,https://www.runchise.com/,Seed,"May 7, 2024",,
Gaspack,https://www.linkedin.com/in/gaspacksal,https://www.gaspackquality.com/,https://www.crunchbase.com/organization/gaspack-nft-launchpad,,,
Beleaf Farms,https://id.linkedin.com/in/amritlakhiani,http://beleaf.co.id/,Seed,"Aug 26, 2024",,
Proglix,https://id.linkedin.com/in/wynn-wijaya-76a2a8a4,https://proglix.com/,Seed,"Apr 13, 2023",,
Wifkain,https://id.linkedin.com/in/sara-sofyan-bb912b166,https://www.wifkain.com/,https://www.crunchbase.com/organization/wifkain,,,
Slice,https://in.linkedin.com/in/rajanbajaj,https://developer.mozilla.org/es/docs/Web/JavaScript/Reference/Global_Objects/Array/slice,Seed,"Apr 14, 2021",,
Qoala,https://id.linkedin.com/in/harshet,https://www.joinqoala.com/,https://www.crunchbase.com/organization/qoala-b5c0/signals_and_news/timeline,,,
WeBuy,https://sg.linkedin.com/in/xuebin2017,https://globalprocurement.enel.com/es/convertirse-en-proveedor/como-acceder-webuy,Seed,"Aug 9, 2024",,
Paxel,https://id.linkedin.com/in/johari-zein-76656116,https://paxel.co/,Seed,"Jul 4, 2022",,
RUN System,https://id.linkedin.com/in/irfanprawiradinata,https://runsystem.io/,Seed,"Feb 25, 2021",,
Sinbad,https://hk.linkedin.com/in/carole-ho-9a228b2b,https://es.wikipedia.org/wiki/Simbad:_La_leyenda_de_los_siete_mares,Seed,Seed,,
Cermati,https://id.linkedin.com/in/andhyk,https://www.cermati.com/,Seed,"Jun 15, 2022",,
Evermos,https://id.linkedin.com/in/ghufronmustaqim,https://evermos.com/home/,Series a,"May 25, 2023",,
Cakap,https://id.linkedin.com/in/tomy-y-b54a3458,https://cakap.com/,Seed,"Apr 12, 2023",,
Billease,https://ph.linkedin.com/in/daniel-stanc,https://billease.ph/,Series b,"Sep 3, 2024",,
BelanjaParts,https://id.linkedin.com/in/elsen-wiraatmadja-948401101,https://belanjaparts.com/,https://www.crunchbase.com/organization/belanjaparts,,,
CNAI,https://es.linkedin.com/in/juan-luis-garcia-martin-a3123914,https://colegionai.edu.co/,https://www.crunchbase.com/organization/cnai,,,
Gomi,https://uk.linkedin.com/in/oscar-ayton-b01947224,"https://www.nhk.or.jp/lesson/spanish/vocabulary/list/14_03.html#:~:text=%E3%81%94%E3%81%BF%20%5BGOMI%5D&text=%22Basura%20combustible%22%20es%20MOERU%20GOMI,no%20combustible%22%2C%20MOENAI%20GOMI.",https://www.crunchbase.com/organization/gomi-co,,,
Jente,https://kr.linkedin.com/in/jimmyjung,https://www.mundodeportivo.com/uncomo/educacion/articulo/como-se-escribe-gente-o-jente-31277.html,https://www.crunchbase.com/organization/jente,,,
