Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Artica Therapeutics,https://nl.linkedin.com/in/tjeerd-barf-5339932,"https://biogenerationventures.com/en/portfolio/artica_therapeutics#:~:text=Artica%20is%20dedicated%20to%20finding,free%20cellular%2Dbased%20screening%20approaches.",https://www.crunchbase.com/organization/artica-therapeutics/org_similarity_overview,,,
Azafaros,https://ch.linkedin.com/in/vanessa-king-a8a7346,https://www.azafaros.com/,Seed,"Feb 6, 2020",,
Brenig,https://il.linkedin.com/in/gregory-brenig-98007125,https://endpts.com/neurology-startup-from-orbimed-collab-nabs-65m-in-series-a/,https://www.crunchbase.com/funding_round/brenig-therapeutics-series-a--f96dcfd6,,,
Catalym,https://uk.linkedin.com/in/phil-l-huillier-54788b,https://www.catalym.com/,Seed,"Jul 16, 2024",,
Citryll,https://es.linkedin.com/in/eduardo-bravo-9688a06,https://citryll.com/,Series a,"Jul 2, 2020",,
Complement Therapeutics,https://uk.linkedin.com/in/rachel-green-93795b18,https://complementtx.com/,Seed,"Apr 17, 2023",,
Confo Therapeutics,https://be.linkedin.com/in/cedric-ververken-1183037,https://www.confotherapeutics.com/,Seed,"Jul 26, 2024",,
Dualyx,https://be.linkedin.com/in/tugsantezil,https://www.dualyx.com/,Series a,"May 15, 2023",,
Dunad,https://www.linkedin.com/in/pearl-huang-1916664,https://www.prnewswire.com/news-releases/dunad-therapeutics-enters-strategic-collaboration-with-novartis-to-develop-next-generation-oral-targeted-protein-degrader-therapies-301413147.html,,"May 15, 2023",,
Fibrocor,https://www.linkedin.com/in/william-newsome-088b608,https://fibrocor.com/pipeline/,Seed,"Jan 1, 2020",,
FundaMental Pharma,https://de.linkedin.com/in/hilmar-bading-2b30b3122,https://fundamentalpharma.com/,Seed,"Apr 11, 2024",,
Genase Therapeutics,https://uk.linkedin.com/in/subir-singh-88b81120,https://biogenerationventures.com/en/portfolio/genase_therapeutics,https://www.crunchbase.com/organization/genase-therapeutics,,,
Mironid,https://uk.linkedin.com/in/nigel-pyne-9ab93a22,https://mironid.com/,Series a,"Sep 13, 2023",,
NorthSea Therapeutics,https://nl.linkedin.com/in/rob-de-ree-bb998a4,https://northseatherapeutics.com/,Seed,"Dec 17, 2021",,
Phlox,https://in.linkedin.com/in/rounakrai,https://phloxtherapeutics.com/,,"Dec 17, 2021",,
Phosphoenix,https://nl.linkedin.com/in/bert-monna-447504,https://www.phosphoenix.nl/,https://www.crunchbase.com/funding_round/phosphoenix-pre-seed--6d20e7aa,,,
RhyGaze,https://ch.linkedin.com/in/charles-gubser-a7b91a4a,https://rhygaze.com/,,,,
Scenic Biotech,https://nl.linkedin.com/in/sebastian-nijman-678a0220,"https://www.prnewswire.com/news-releases/scenic-biotech-announces-31-million-financing-to-progress-pipeline-of-genetic-modifiers-in-cancer-and-rare-diseases-301499356.html#:~:text=Scenic%20Biotech%20is%20focused%20on,a%20disease%2Dcausing%20mutated%20gene.",Series a,"Mar 10, 2022",,
Tessellate Bio,https://uk.linkedin.com/in/diana-alexandra-zatreanu/en,https://tessellatebio.com/,Seed,Seed,,
Tiga Tx,https://www.linkedin.com/in/philip-liu-481b4b14,https://biogenerationventures.com/en/portfolio/tiga_tx,https://www.crunchbase.com/organization/tiga-tx,,,
VarmX,https://nl.linkedin.com/in/pieter-h-reitsma-0b465822,https://varmx.com/,Seed,"May 25, 2023",,
VectorY,https://my.linkedin.com/in/kroneii,https://www.vectorytx.com/,Seed,"Nov 7, 2022",,
Acerta Pharma,https://nl.linkedin.com/in/nico-stam-5aa887a,https://www.acerta-pharma.com/,Series a,Series A,,
arGEN-X,https://be.linkedin.com/in/tim-van-hauwermeiren-476a3521,https://argenx.com/,Series a,"Jul 19, 2023",,
BioCeros,https://nl.linkedin.com/in/remcombrandt,https://biogenerationventures.com/en/portfolio/bioceros,Acquired,"Jan 21, 2011",,
Dezima Pharma,https://tz.linkedin.com/in/suddeys-abdulbasat-2a1b0b166,https://forbion.com/en/portfolio/dezima_pharma,https://www.crunchbase.com/organization/dezima-pharma,,,
Lanthio,https://nl.linkedin.com/in/lanthio-pharma-6365059a,https://www.morphosys.com/en/news/morphosyss-subsidiary-lanthio-pharma-initiates-first-human-clinical-study-lanthipeptide-mor107,Series a,"May 21, 2014",,
Mellon Medical,https://im.linkedin.com/in/neal-mellon-9490bb20,https://mellonmedical.com/,Series b,"Aug 30, 2017",,
NewAmsterdam Pharma,https://www.linkedin.com/in/michael-davidson-64926513b,https://www.newamsterdampharma.com/,Series a,"Feb 13, 2024",,
NovioGendix,https://nl.linkedin.com/in/jack-schalken-90b9086,https://biogenerationventures.com/en/portfolio/noviogendix,,"Feb 13, 2024",,
Progentix Orthobiology,https://uk.linkedin.com/in/tanzina-hasnath-b4473b125,https://biogenerationventures.com/en/portfolio/progentix_orthobiology,https://www.crunchbase.com/organization/progentix-orthobiology,,,
Staten Biotechnology,https://www.linkedin.com/in/shital-daftari,https://forbion.com/en/portfolio/staten_biotechnology,https://www.crunchbase.com/organization/staten-biotechnology,,,
SurgVision,https://de.linkedin.com/in/anwar-saeed-8495621b4,https://surgvision.com/,https://www.crunchbase.com/organization/surgvision,,,
Synaffix,https://nl.linkedin.com/in/peter-van-de-sande-8778b53,https://synaffix.com/,https://www.crunchbase.com/organization/synaffix,,,
