Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Aloft,https://www.linkedin.com/in/hegranes,https://www.aloftappraisal.com/,Seed,"Nov 18, 2021"
Assembly OSM,https://www.linkedin.com/in/astaniforth,https://www.assemblyosm.com/,https://www.crunchbase.com/funding_round/assembly-osm-series-a--8ba09aed,
Appear Here,https://uk.linkedin.com/in/rossabailey,https://www.appearhere.co.uk/,Seed,"Mar 4, 2020"
Assignar,https://www.linkedin.com/in/smccreanor,https://www.assignar.com/,https://www.crunchbase.com/organization/assignar/org_similarity_overview,
Aquicore,https://www.linkedin.com/in/logansoya,https://www.aquicore.com/,Seed,"Feb 2, 2022"
Aurora Solar,https://www.linkedin.com/in/christopher-hopper,https://aurorasolar.com/,https://www.crunchbase.com/funding_round/aurora-solar-series-a--48c1cedc,
Belong,https://www.linkedin.com/in/aleresnik,https://belonghome.com/,Seed,"May 20, 2022"
Blank Street,https://www.linkedin.com/in/issamfreiha,https://www.blankstreet.com/,https://www.crunchbase.com/organization/blank-street/company_overview/overview_timeline,
BLND,https://www.linkedin.com/in/nghamsari,https://blend.com/,Series a,"Apr 29, 2024"
Brimstone,https://www.linkedin.com/in/hugo-leandri,https://www.brimstone.com/technology,Series a,"Mar 25, 2024"
Built Robotics,https://www.linkedin.com/in/noahreadycampbell,https://www.builtrobotics.com/,Series a,"Apr 7, 2022"
Built Technologies,https://www.linkedin.com/in/chase-gilbert-14717216,https://getbuilt.com/,Series a,"Apr 13, 2023"
Carbon Health,https://www.linkedin.com/in/erenbali,https://carbonhealth.com/blog-post/carbon-health-technology?srsltid=AfmBOoppEeLH_P26mjJqVViUxZkZ_pNlvSqaBZPMpBPfZTQ7a7yHlfaT,Seed,"Mar 31, 2023"
Clarity AI,https://www.linkedin.com/in/rebecaminguela,https://clarity.ai/,Seed,"Dec 2, 2021"
Clikalia,https://es.linkedin.com/in/pablofernandezalvarez,https://clikalia.com/,Series a,"Feb 8, 2022"
Clutter,https://www.linkedin.com/in/arimir,https://www.clutter.com/,Seed,"Feb 1, 2019"
Cobalt Robotics,https://www.linkedin.com/in/travis-deyle-6951441b,https://www.cobaltai.com/security-robots/,Seed,"Jun 25, 2019"
Cobli,https://br.linkedin.com/in/parkertreacy/pt,https://www.cobli.co/,Seed,"Jul 12, 2023"
Constrafor,https://www.linkedin.com/in/anwar-ghauche,https://www.constrafor.com/,Seed,"Apr 24, 2023"
Cotopaxi,https://br.linkedin.com/in/davismsmith,https://www.cotopaxi.com/?srsltid=AfmBOopB0VavaQwg6c_xvGcgurslLX6aA5iyWC_jPguS8AoMZhsLl3in,Seed,"Sep 15, 2023"
Cottage,https://www.linkedin.com/in/alex-czarnecki,https://www.ameradnan.com/blog/construction-and-design-cottage-homes/,Seed,"Apr 6, 2022"
Document Crunch,https://www.linkedin.com/in/josh-levy-,https://www.documentcrunch.com/,Seed,"Feb 13, 2024"
Docsumo,https://www.linkedin.com/in/rushabhasheth,https://www.docsumo.com/,Seed,"Mar 3, 2022"
DOMA,https://www.linkedin.com/in/maxsimkoff,"https://www.businesswire.com/news/home/20240927923404/en/Doma-Closes-Previously-Announced-Go-Private-Transaction#:~:text=Doma%20uses%20proprietary%20machine%20intelligence,agents%2C%20and%20real%20estate%20professionals.",https://www.crunchbase.com/organization/doma-real-estate/technology,
EcoCart,https://www.linkedin.com/in/daneaustinbaker,https://ecocart.io/,Seed,"Oct 4, 2022"
Eden,https://www.linkedin.com/in/josh-koplin-57654230,https://www.edenworkplace.com/,https://www.crunchbase.com/organization/eden/company_overview/overview_timeline,
Electric Hydrogen,https://www.linkedin.com/in/david-eaglesham-51306015,https://eh2.com/,Series a,"May 9, 2024"
Enertiv,https://www.linkedin.com/in/connellmcgill,https://www.enertiv.com/,Seed,"May 19, 2022"
Ergatta,https://www.linkedin.com/in/tom-aulet-85493127,https://ergatta.com/?srsltid=AfmBOoqedP0XCtJNOPIW8m_ts2_kBRSyPJXoC7ui8FfLjvDi6Odzvr90,Seed,"Apr 28, 2021"
EV Realty,https://www.linkedin.com/in/pasullivan,https://evrealtyus.com/,https://www.crunchbase.com/organization/ev-realty,
Ever/Body,https://www.linkedin.com/in/amy-shecter-b13a569,https://everbody.com/,Series a,"Jun 8, 2022"
Flyhomes,https://www.linkedin.com/in/tushar-garg-a6837445,https://flyhomes.com/,Seed,"May 10, 2021"
Heyday,https://www.linkedin.com/in/samiurr,https://www.heydayskincare.com/pages/our-services?srsltid=AfmBOooEkicon9XWWdAwZScaVoWmNDUlXPxvbSTkmbZ2w_r5DdgwtjUc,Seed,"Dec 14, 2022"
Higharc,https://www.linkedin.com/in/marcminor,https://www.higharc.com/,Seed,"Feb 15, 2024"
Hippo,https://il.linkedin.com/in/assafwand,https://www.hippo.com/,https://www.crunchbase.com/organization/hippo-insurance/technology,
Homebound,https://www.linkedin.com/in/nikki-pechet-4b949210,https://www.homebound.com/,Series a,"Mar 25, 2022"
Honest,https://www.linkedin.com/in/jessica-alba,https://www.honest.com/,Seed,"Jun 7, 2018"
Huspy,https://ae.linkedin.com/in/jad-antoun-204,https://www.huspy.com/ae/blog/technology-making-real-estate-faster-simpler-and-smarter,Seed,"May 22, 2024"
ICON,https://www.linkedin.com/in/kennandavison,https://www.iconbuild.com/,Seed,"Feb 18, 2022"
Impulse Labs,https://www.linkedin.com/in/s-damico,https://impulse-partners.com/services/innovation-labs/,https://www.crunchbase.com/organization/impulsevc/investor_summary/overview_timeline,
Industrious,https://www.linkedin.com/in/jamie-hodari-4397897,https://www.industriousoffice.com/,Series a,"Feb 22, 2021"
Interior Define,https://www.linkedin.com/in/bachir-boumjahed-614180163,https://www.interiordefine.com/living/all-custom-sofas,Seed,"Jan 12, 2022"
Lessen,https://www.linkedin.com/in/jay-mckee,https://www.lessen.com/,Seed,"Jan 11, 2023"
Lime,https://www.linkedin.com/in/suntoby,https://www.li.me/,Series b,"Nov 5, 2021"
Local Kitchens,https://www.linkedin.com/in/goldsmith1,https://www.catering.localkitchens.com/,Seed,"Jun 28, 2021"
Loft,https://br.linkedin.com/in/matepencz,https://fifthwall.com/companies/loft,https://www.crunchbase.com/organization/loft-br,
Loggi,https://www.linkedin.com/in/arthurdebert/,"https://startupeable.com/directorio/startups/loggi/#:~:text=Loggi%20es%20una%20plataforma%20log%C3%ADstica,obtener%20entregas%20%C3%A1giles%20y%20seguras.",Seed,"Mar 1, 2021"
Loop,https://www.linkedin.com/in/mattlmckinney,https://www.loop.com/,https://www.crunchbase.com/organization/loop-logistics/technology,
Madison Reed,https://www.linkedin.com/in/amyerrett,https://www.madison-reed.com/,Series d,"Feb 9, 2023"
Modern Animal,https://www.linkedin.com/in/steveneidelman,https://www.modernanimal.com/,Seed,"Jan 1, 2023"
Mojave,https://www.linkedin.com/in/gwhitescarver,https://mojavehvac.com/2024/04/mojave-more-than-doubles-its-sales-coverage-across-the-u-s/,https://www.crunchbase.com/person/greg-smithies,
Neighbor,https://www.linkedin.com/in/josephwoodbury,https://www.neighbor.com/,Seed,"Mar 24, 2021"
Notarize,https://www.linkedin.com/in/kinsel,https://www.notarize.com/,Seed,"Oct 2, 2023"
OpenDoor,https://www.linkedin.com/in/ericwu01,https://www.opendoor.com/,Series a,"Sep 20, 2023"
