Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Clearco,https://ca.linkedin.com/in/micheleromanow,https://clear.co/,https://www.crunchbase.com/organization/clearbanc/investor_summary/overview_timeline,,,
DroneDeploy,https://www.linkedin.com/in/mikewinn1,https://www.dronedeploy.com/,Seed,"Feb 4, 2021",,
Forethought,https://www.linkedin.com/in/deon-nicholas,"https://www.businesswire.com/news/home/20240813654076/en/Forethought-Continues-YoY-Growth-Driven-by-Demand-for-AI-First-Customer-Support#:~:text=Since%20launching%2C%20Forethought%20customers%20using,leverage%20AI%20for%20customer%20service.",Seed,"Dec 15, 2021",,
Greenhouse,https://www.linkedin.com/in/dhchait,https://www.greenhouse.com/,Seed,"Jul 12, 2018",,
Kandji,https://www.linkedin.com/in/markdaughters,https://www.kandji.io/,Seed,"Jul 17, 2024",,
Lob,https://www.linkedin.com/in/bavidar,https://www.lob.com/platform/address-verification,Seed,"Feb 25, 2021",,
Lunchbox,https://www.linkedin.com/in/tom-worcester,https://lunchbox.io/index,Seed,"Feb 1, 2022",,
MosaicML,https://www.linkedin.com/in/naveen-rao-bba5b01,https://docs.mosaicml.com/,https://www.crunchbase.com/organization/mosaic-ml,,,
Navan,https://www.linkedin.com/in/ryanswoboda,https://navan.com/,Series d,"Dec 8, 2022",,
Qualio,https://www.linkedin.com/in/robertpfenton,https://www.qualio.com/product,Seed,"May 25, 2021",,
Regal,https://www.linkedin.com/in/alexlevin1,https://www.regal.io/,Seed,"Sep 7, 2022",,
Strongdm,https://www.linkedin.com/in/tprendergast,https://www.strongdm.com/infrastructure-access-platform,Seed,"May 2, 2024",,
Telnyx,https://nl.linkedin.com/in/dcasem,https://developers.telnyx.com/api/,Seed,"Sep 1, 2014",,
Vanta,https://www.linkedin.com/in/ccacioppo,https://www.vanta.com/,https://www.crunchbase.com/hub/software-early-stage-companies-more-than-100-employees/hub_overview_default/timeline,,,
Appital,https://co.linkedin.com/in/johan-guerrero-6503781a2,https://appital.io/,Seed,"Aug 9, 2022",,
AQMetrics,https://ie.linkedin.com/in/geraldine-dautun-428b981,https://aqmetrics.com/,,"Aug 9, 2022",,
Astronomer,https://www.linkedin.com/in/jootto,https://www.astronomer.io/airflow/,,"Aug 9, 2022",,
Baserow,https://nl.linkedin.com/in/bram-wiepjes-a197a5129,"https://openalternative.co/baserow#:~:text=Baserow%20is%20a%20powerful%20open,a%20single%20line%20of%20code.",Seed,Seed,,
Calypso AI,https://www.linkedin.com/in/neil-serebryany,https://calypsoai.com/,Seed,"Dec 20, 2023",,
ClimateAligned,https://uk.linkedin.com/in/aleksi-tukiainen,"https://www.climatealigned.co/blog/launch#:~:text=ClimateAligned%20is%20redefining%20how%20investors,issuers%20transparent%20and%20comparable%2C%20through",Pre-seed,Pre-Seed,,
Cloudsmith,https://www.linkedin.com/in/grweinstein,https://cloudsmith.com/product/cloud-native-artifact-management,,Pre-Seed,,
Conduktor,https://uk.linkedin.com/in/stephane-derosiaux,https://conduktor.io/,Seed,"Nov 22, 2021",,
Deligo Vision,https://hu.linkedin.com/in/bhaidekker,https://www.deligovision.com/,,"Nov 22, 2021",,
Disperse,https://uk.linkedin.com/in/felixneufeld,https://www.disperse.io/,Seed,"Sep 26, 2022",,
DuDe Chem,https://de.linkedin.com/in/mathis-han,https://www.dudechem.com/,https://www.crunchbase.com/hub/europe-middle-east-and-africa-pharmaceutical-female-founded-companies-seed-funding/hub_overview_default/timeline,,,
Elucidate,https://de.linkedin.com/in/shane-riedel,https://www.elucidate.co/,Seed,"May 11, 2022",,
Evervault,https://www.linkedin.com/in/shanemcurran,https://evervault.com/legal/privacy,Seed,"May 21, 2020",,
Flexcar,https://de.linkedin.com/in/gabriel-toribio-colic-31382b108,https://www.flexcar.com/,https://www.crunchbase.com/organization/flexcar,,,
Fresco,https://ie.linkedin.com/in/ben-harris-60a33610,https://frescocooks.com/,,,,
Hometree,https://uk.linkedin.com/in/simon-phelan-004b8818,https://www.peterball.co.uk/news/sustainable-smart-tech-homes-enhancing-eco-friendly-living,https://www.crunchbase.com/organization/renovate-america/org_similarity_overview,,,
Hopsworks,https://uk.linkedin.com/in/jim-duffy-advisor,https://www.hopsworks.ai/,Seed,"Jun 29, 2023",,
Humaans,https://uk.linkedin.com/in/gluperti,https://humaans.io/,Seed,"Oct 4, 2022",,
Insify,https://nl.linkedin.com/in/koen-thijssen-2558462a,https://x.com/insify?lang=ar,https://lb.crunchbase.com/organization/financial-services-agency/company_overview/overview_timeline,,,
Kota,https://ie.linkedin.com/in/luke-mackey,https://www.kota.io/,Seed,"Oct 25, 2023",,
Learnerbly,https://uk.linkedin.com/in/rajeebdey,"https://scalefactory.com/client-stories/learnerbly/#:~:text=Learnerbly%20is%20a%20workplace%20learning,the%20world's%20most%20progressive%20businesses.",Seed,"Jun 28, 2023",,
Levro,https://www.linkedin.com/in/cathyhan,https://www.levro.com/,,"Jun 28, 2023",,
Linked Finance,https://ie.linkedin.com/in/peteromahony,https://www.linkedfinance.com/,https://www.crunchbase.com/organization/linked-finance,,,
