Startup,LinkedIn,Website,Raised to Date,Date of latest funding
AIM,https://co.linkedin.com/in/aim-cafe-66419aa1,https://www.3daimtrainer.com/,https://www.crunchbase.com/organization/aim-03b7,
Able,https://www.linkedin.com/in/ravishagrawal,https://www.linguee.es/ingles-espanol/traduccion/able.html#:~:text=capaz%20adj%20m%2Ff,Seed,Seed
Anduril,https://co.linkedin.com/company/andurilindustries?trk=products_details_guest_organization_name,https://esdla.fandom.com/wiki/And%C3%BAril,Seed,"Aug 7, 2024"
Applied Intuition,https://www.linkedin.com/in/qasar,https://www.appliedintuition.com/,Series a,"Jul 25, 2024"
Athelas,https://www.linkedin.com/posts/tanaytandon_homepage-athelas-activity-7006411077743783936-4L8o,https://www.athelas.com/,Seed,"Jan 31, 2022"
Beacon,https://www.linkedin.com/company/beaconfounders,https://beacons.ai/i/,Seed,"Oct 4, 2021"
Biograph,https://www.linkedin.com/company/biograph,https://www.biograph.com/,https://www.crunchbase.com/organization/biograph-0218,
Bolt,https://ee.linkedin.com/in/markusvillig,https://bolt.eu/es-es/,Series d,"May 3, 2024"
Brex,https://www.linkedin.com/in/henriquedubugras,https://www.brex.com/,https://www.crunchbase.com/organization/brex,
Cloaked,https://www.linkedin.com/in/arjunbhatnagar,https://www.cloaked.com/,Seed,"Mar 29, 2022"
Clumio,https://www.linkedin.com/in/poojankumar,https://clumio.com/,Series a,"Feb 21, 2024"
Commure,https://www.linkedin.com/company/commure,https://www.commure.com/,Seed,"May 31, 2024"
Dandy,https://es.linkedin.com/company/dandycompanylimited,https://www.eldandyinmobiliaria.com/,https://www.crunchbase.com/organization/dandy-7e2a,
Elementl,https://co.linkedin.com/company/elemento43,"https://www.cancer.gov/espanol/publicaciones/diccionarios/diccionario-cancer/def/elemento#:~:text=En%20el%20campo%20de%20la,el%20mismo%20n%C3%BAmero%20de%20protones.",Seed,"May 24, 2023"
Fellow,https://co.linkedin.com/school/makersfellowship/,https://fellowproducts.com/,Seed,"Jun 15, 2022"
Flock,https://co.linkedin.com/company/the-flock-co?trk=public_profile_experience-item_profile-section-card_image-click,https://www.flock.com/,Seed,"Feb 27, 2023"
Hearth,https://www.linkedin.com/in/anthony-ghosn-211ab068,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/hearth,Seed,"May 17, 2021"
