Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Acorn Finance,https://www.linkedin.com/in/giriaddanki,https://www.acornfinance.com/,Seed,"Jan 11, 2022",,
Acreto,https://www.linkedin.com/in/babakpasdar,https://acreto.io/,,"Jan 11, 2022",,
Arcbazar,https://www.linkedin.com/in/ana-batista-2019a493,https://www.arcbazar.com/,Seed,"Sep 1, 2016",,
Audience Town,https://www.linkedin.com/in/ed-carey-a4b7032,https://www.audiencetown.com/,Seed,"Jan 30, 2024",,
Caribou,https://www.linkedin.com/in/kevinspencerbennett,https://caribou.com/,Seed,"May 19, 2022",,
Covered,https://az.linkedin.com/in/farrukh-bakhshiyev-b2316856,https://www.linkedin.com/pulse/role-insurance-real-estate-navigating-landscape-noor-uddin-9bxwe,https://www.crunchbase.com/organization/paymints-io/company_overview/overview_timeline,,,
Docitt,https://co.linkedin.com/in/andresmrg,https://www.docitt.com/,https://news.crunchbase.com/sections/venture/page/206/,,,
EasyKnock,https://www.linkedin.com/in/davidbkrieger,https://www.easyknock.com/,Seed,"Feb 28, 2024",,
Havenly,https://www.linkedin.com/in/lee-mayer,https://havenly.com/,,"Feb 28, 2024",,
Hello Divorce,https://www.linkedin.com/in/erinlevine,https://hellodivorce.com/,Seed,"Jun 10, 2023",,
Homesnap,https://www.linkedin.com/in/guywolcott,https://www.homesnap.com/pro/business,Seed,"Jul 12, 2023",,
ICON,https://www.linkedin.com/in/jason-ballard-2932a816,"https://www.voxelmatters.com/icon-unveils-new-3dcp-hardware-software-and-materials/#:~:text=ICON%2C%20a%20of%20advanced%20construction,a%20digital%20catalog%20for%20residential",Seed,"Feb 18, 2022",,
IncentiFind,https://www.linkedin.com/in/nataliecamposgoodman,https://www.incentifind.com/,,"Feb 18, 2022",,
Kairos,https://www.linkedin.com/in/ankurjainkairos,https://www.kairoswater.io/,Seed,"Aug 1, 2022",,
Key,https://in.linkedin.com/in/key-finder-811a08317,https://www.keyown.com/,https://www.crunchbase.com/organization/keyliving,,,
LiftUp,https://fr.linkedin.com/in/pierre-millet-b85934174,https://www.upwork.com/agencies/1413436192605503488/,Seed,"Aug 17, 2022",,
LiveEasy,https://www.linkedin.com/in/venkateshganapathy,https://www.liveeasy.com/,,"Aug 17, 2022",,
Measurabl,https://www.linkedin.com/in/measurabl,https://www.measurabl.com/,https://www.crunchbase.com/organization/realpage/company_overview/overview_timeline,,,
Modwell,https://www.linkedin.com/in/garyreisman,https://www.modwell.io/,https://www.crunchbase.com/organization/modwell,,,
Porch,https://www.linkedin.com/in/mattehrlichman,https://porch.com/,https://www.crunchbase.com/lists/home-services-marketplace/e07e0457-c9d9-4f86-b9ac-c79e99f90bb3/identifiers,,,
RealReports,https://www.linkedin.com/in/zgorman00,https://www.realreports.ai/,https://www.crunchbase.com/hub/northeastern-us-artificial-intelligence-companies-seed-funding/hub_overview_default/timeline,,,
RealSage,https://www.linkedin.com/in/arunabhadastidar,https://leni.co/,,,,
Ritual,https://www.linkedin.com/in/juancaviglia,https://ritual.co/blog/kitchen-hub-food-hall-on-ritual,,,,
Rolla,https://bo.linkedin.com/in/luis-rolla-b73076107,https://www.rollavideo.com/,https://www.crunchbase.com/organization/606-productions/org_similarity_overview,,,
Second Nature,https://sg.linkedin.com/in/velda-tan-3b3a68111,https://www.secondnature.com/products/air-filters,Seed,"Mar 25, 2020",,
SolarKal,https://www.linkedin.com/in/yanivkalish,https://www.solarkal.com/,,"Mar 25, 2020",,
Solstice,https://www.linkedin.com/in/ibrahim-alabed-777867162,https://solstice.us/,https://www.crunchbase.com/hub/powerhouse-ventures-portfolio-companies/hub_overview_default/timeline,,,
Stride,https://www.linkedin.com/in/vijaykant-nadadur-2769b2b,https://aon.stridehealth.com/tax/deductions/real-estate-agent,https://www.crunchbase.com/organization/chime-2/company_overview/overview_timeline,,,
Tailorbird,https://www.linkedin.com/in/tim-cantwell-758b55b5,https://www.tailorbird.com/,,,,
Tailos,https://www.linkedin.com/in/micahgreen7,https://tailos.com/,Seed,"Nov 12, 2020",,
TestFit,https://www.linkedin.com/in/cliftonharness,https://www.testfit.io/,Seed,"Jul 15, 2022",,
TruLiv,https://in.linkedin.com/in/rohit-reddy-789b1ab1,https://www.trulivco.com/,https://about.crunchbase.com/blog/hotel-on-park-place-please/,,,
TrustLayer,https://www.linkedin.com/in/vincenzo-acinapura-436a48257,https://trustlayer.io/,https://news.crunchbase.com/fintech-ecommerce/trustlayer-raises-6-6m-to-make-sure-your-insurance-coverage-is-legit/,,,
Verse,https://in.linkedin.com/in/virendra-gupta-190a44,https://fullenrich.com/jobtitle/Sales-Team-Lead-VS-Inside-Sales-Team-Lead,Seed,"Apr 17, 2018",,
Wayleadr,https://www.linkedin.com/in/garretflower,https://wayleadr.com/,,"Apr 17, 2018",,
Workbox,https://www.linkedin.com/in/john-wallace-23114a5,https://www.workboxcompany.com/,https://www.crunchbase.com/hub/coworking-companies-more-than-10-employees/hub_overview_default/timeline,,,
WYL,https://www.linkedin.com/in/ofoezeugwu35,https://homeprovider.wyl.co/,,,,
Xeal,https://www.linkedin.com/in/alexander-isaacson,https://xealenergy.com/,Series a,"Dec 19, 2022",,
