Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
11 Honoré,https://www.linkedin.com/company/11honor%C3%A9,https://www.vogue.com/slideshow/11-honore-spring-2022-collection-campaign-new-york-fashion-week,Seed,"Nov 13, 2019",,
222,https://www.linkedin.com/in/kaaazemian,https://upfront.com/portfolio,Seed,"Apr 22, 2023",,
Adore Me,https://www.linkedin.com/in/morganhw,https://www.adoreme.com/,Seed,"Mar 14, 2022",,
Adway,https://www.linkedin.com/in/sashakrylov,https://adwayusa.com/,Seed,"Jul 23, 2021",,
Aircam,https://www.linkedin.com/in/mrmarkin,https://photofocus.com/mobile/mobile-apps/first-look-at-aircam-for-event-photographers/,Seed,Seed,,
AlphaDraft,https://www.linkedin.com/in/petersonto,https://tracxn.com/d/companies/alphadraft/__5aP8xLr6WQ1U9miV3BTEDxAONl8OB7CD0VGvck9WQcM,Pre-seed,"May 19, 2015",,
Apeel Sciences,https://www.linkedin.com/in/james-rogers-801a572a,"https://www.thepacker.com/news/packer-tech/can-plants-solve-one-worlds-biggest-problems#:~:text=Apeel's%20core%20technology%20is%20a,spoilage%20and%20ultimately%20increasing%20retail","https://www.crunchbase.com/organization/apeel-sciences#:~:text=A%20plant%2Dderived%20coating%20applied,%2C%20oxidation%2C%20and%20water%20loss.&text=Avocados%20treated%20with%20Apeel's%20coating,for%202%2D3%20days%20longer.",,,
Apex,https://co.linkedin.com/company/apex-america,https://www.superbcrew.com/apex-secures-95-million-to-expand-satellite-bus-production/,https://news.crunchbase.com/venture/space-tech-satellite-startup-apex-funding/,,,
Arcade,https://www.linkedin.com/in/gabefrank,https://www.arcade.software/,Seed,"Sep 29, 2022",,
Astral,https://www.linkedin.com/in/jackbogdan,https://www.microsoft.com/en-us/copilot,,"Sep 29, 2022",,
Ayble Health,https://www.linkedin.com/in/sam-jactel-515a229a,https://www.ayblehealth.com/,"https://www.crunchbase.com/organization/ayble-health#:~:text=Ayble%20is%20a%20clinically%2Dbacked%20digital%20health%20platform%20that%20uses,for%20people%20with%20GI%20conditions.",,,
Believer,https://www.linkedin.com/in/believer-paladin,https://believer.gg/,Series a,Series A,,
Bevy,https://ca.linkedin.com/in/jrfernandes,https://www.bevy.com/,Series a,"Mar 24, 2021",,
BillMeLater,https://www.linkedin.com/in/steve-burleson-a75b386,https://secure.paymentech.com/mcp/protected/documents/user_manuals/bill_me_later_faq.pdf,Series a,"Dec 11, 2007",,
Bionaut Labs,"https://www.linkedin.com/posts/bionaut-labs_michael-shpigelmacher-ceo-founder-bionaut-activity-7180994423726514176-9hLD#:~:text=Bionaut%20Labs%20on%20LinkedIn%3A%20Michael,%2C%20CEO%20%26%20Founder%2C%20Bionaut%20Labs",https://bionautlabs.com/,Seed,"May 14, 2024",,
Bird,https://www.linkedin.com/in/travis1,https://www.bird.co/us-fm/,Series c,"Dec 20, 2022",,
Bland AI,https://www.linkedin.com/company/bland-ai,"https://aimresearch.co/generative-ai/ai-takes-over-the-phones-with-bland-ais-16m-funding#:~:text=the%20phone%20call.-,Bland%20AI%20is%20a%20platform%20designed%20to%20replace%20human%20voices,led%20by%20Scale%20Venture%20Partners.","https://finance.yahoo.com/news/conversational-ai-platform-bland-ai-120000934.html#:~:text=The%20Bland%20AI%20Phone%20Calling,given%20response%20from%20a%20customer.",,,
Britive,https://www.linkedin.com/in/artyompoghosyan,https://www.britive.com/,Seed,"Mar 23, 2023",,
Burstly,https://www.linkedin.com/company/burstly,https://www.mobileaction.co/blog/ab-testing-tools/,Series a,"Nov 30, 2011",,
Canvas Medical,https://www.linkedin.com/in/andhines,https://www.canvasmedical.com/,Seed,"Jul 15, 2022",,
Certify,https://www.linkedin.com/in/anshulrathi25,https://www.certifyos.com/,Seed,"Sep 7, 2022",,
ChowNow,https://www.linkedin.com/company/chownow,https://get.chownow.com/,Series a,"May 8, 2019",,
Clair,https://www.linkedin.com/in/nsimko,https://www.getclair.com/,Seed,"Jul 6, 2023",,
Comparably,https://www.linkedin.com/posts/jasonnazar_all-good-things-my-time-at-comparably-and-activity-7005926353141190656-O9ND,https://journals.sagepub.com/doi/10.1177/08863687231181454?icid=int.sj-abstract.citing-articles.3,Series a,"Jan 5, 2021",,
Convoz,https://www.linkedin.com/in/chamillionaire,https://convoz.com/faqs/,https://www.crunchbase.com/organization/convoz,,,
Copilot Labs,https://ca.linkedin.com/in/jesse-chen-850a9413,https://www.crunchbase.com/organization/copilot-labs,Seed,"Oct 7, 2013",,
Cordial,https://www.linkedin.com/in/jeremyswift,https://cordial.com/,Seed,"Jul 26, 2022",,
Crate,https://www.linkedin.com/company/crateapp,https://consensus.app/home/,https://www.crunchbase.com/organization/nalytics,,,
Creator Now,https://www.linkedin.com/in/zackhonarvar,https://www.creatornow.com/,Seed,Seed,,
CyberSource,https://www.linkedin.com/in/michaelwalsh7,https://www.cybersource.com/en.html,https://www.crunchbase.com/organization/cybersource,,,
DAILYLOOK,https://www.linkedin.com/company/dailylook,http://www.dailylook.com/,Seed,"Sep 1, 2018",,
DataSift,https://www.linkedin.com/in/robmbailey,https://www.businessmodelzoo.com/exemplars/datasift/,Seed,"Dec 6, 2013",,
Daytona,https://www.linkedin.com/in/ivanburazin,https://www.daytona.io/,Seed,"Jun 25, 2024",,
Dealertrack Technologies,https://www.linkedin.com/company/dealertrack,https://us.dealertrack.com/,Ipo,"Mar 5, 2014",,
Deliv,https://co.linkedin.com/company/deliv,https://goshare.co/service/retail-delivery/,Seed,"Oct 30, 2018",,
