Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Caribou,https://uk.linkedin.com/in/isjuanonline,https://www.caribouwealth.com/,Seed,"Jan 24, 2022",,
Deep Sky,https://ca.linkedin.com/in/joostouwerkerk,https://www.deepskyclimate.com/,Seed,"Sep 12, 2024",,
InvestNext,https://www.linkedin.com/in/kevinheras,https://www.investnext.com/preferred-partnership-program/,Seed,"Apr 29, 2024",,
Altrio,https://be.linkedin.com/in/jochemmartens,https://altrio.com/resources/how-to-proptech,https://www.crunchbase.com/organization/alate-partners/signals_and_news,,,
Mash,https://uk.linkedin.com/in/julian-agostini-a183844,https://www.mash.com/,Seed,"Jun 7, 2022",,
Altoida,https://www.linkedin.com/in/tarnanas,https://altoida.com/,https://www.crunchbase.com/lists/hack-your-brain-neurotechnology/485b0e1a-703f-4252-8ccd-23f1a494bb0c/identifiers,,,
Future Fertility,https://ca.linkedin.com/in/alexk-td,"https://www.femtechworld.co.uk/news/future-fertility-and-ivi-rma-global-research-alliance-forge-landmark-commercial-partnership-to-raise-standard-of-care-in-egg-quality-assessment-futfer24/#:~:text=Future%20Fertility's%20deep%20learning%20model,the%20eggs%20they've%20frozen.",https://www.crunchbase.com/organization/future-fertility,,,
PartnerStack,https://ca.linkedin.com/in/lswanek,https://market.partnerstack.com/sales,Seed,"May 26, 2021",,
Vetster,https://ca.linkedin.com/in/mark-bordo-49697887,https://vetster.com/,https://www.crunchbase.com/organization/vetster/technology,,,
Felix,https://co.linkedin.com/in/locutorco/en,https://www.linkedin.com/company/felix-health-technologies-inc,Seed,"Apr 5, 2023",,
Silofit,https://ca.linkedin.com/in/wvalenta,https://es.linkedin.com/pulse/silofit-gimnasios-privados-alquilados-por-horas-strava-fede-lorente,https://news.crunchbase.com/startups/vacant-office-space-proptech-startups-repurpose/,,,
Nicoya,https://ca.linkedin.com/in/ryandenomme,https://nicoyalife.com/,Seed,"Dec 16, 2021",,
GoBolt,https://in.linkedin.com/in/parag-aggarwal-4874a43b,https://www.gobolt.com/,,"Dec 16, 2021",,
Bold,https://co.linkedin.com/in/josevelez1,https://bold.co/,Series a,"Jan 19, 2021",,
Real Matters,https://ca.linkedin.com/in/brian-lang-11156712,https://www.realmatters.com/home/default.aspx,https://news.crunchbase.com/public/proptech-startups-vc-investment-forecast-2022/,,,
Clearwater Clinical,https://www.linkedin.com/in/aydin-keskiner-a061258,https://clearwatersecurity.com/,Series a,"Jan 12, 2017",,
IRYStec,https://fr.linkedin.com/in/akhavantara,https://www.irystec.com/,https://www.crunchbase.com/organization/faurecia-sa/company_overview/overview_timeline,,,
Affinio,https://ca.linkedin.com/in/t1mburke,https://www.audiense.com/products/affinio,https://www.crunchbase.com/organization/affinio/company_overview/overview_timeline,,,
Classcraft,https://ca.linkedin.com/in/shawnyoung1,https://intef.es/observatorio_tecno/classcraft-convierte-la-clase-en-una-aventura-epica/,https://www.crunchbase.com/acquisition/houghton-mifflin-harcourt-acquires-classcraft--087b04dd,,,
Qvella,https://www.linkedin.com/in/gordon-hull-9245ab6,https://www.qvella.com/fast-id-bsi/,Seed,"Sep 8, 2021",,
Mother Raw,https://ca.linkedin.com/in/kristiknowles,https://motherraw.com/,,"Sep 8, 2021",,
Avo Photonics,https://www.linkedin.com/in/paul-magill-8058a116,https://www.avophotonics.com/,https://www.crunchbase.com/organization/avo-photonics,,,
Protenergy,https://www.linkedin.com/in/philippe-touchet-823688270/,https://www.protenergyfoods.com/,,,,
Broadband Networks,https://in.linkedin.com/in/arun-chakrapani-rao-0b582a5,"https://www.investopedia.com/terms/b/broadband.asp#:~:text=Broadband%20refers%20to%20various%20high,the%20need%20for%20dial%2Dup.",Acquired,"Mar 5, 2010",,
Electrophotonics Corp.,https://www.linkedin.com/in/electrophotonics,https://electro-photonics.com/,Seed,"Jun 27, 2023",,
Genus Medical,https://in.linkedin.com/in/vikashmaheshwari,https://genusmedical.com/,https://www.crunchbase.com/organization/genus-medical-technologies,,,
iMagicTV,https://ca.linkedin.com/in/gerry-pond-240a2313,https://imagic-tv.com/en/,https://www.crunchbase.com/hub/closed-european-union-internet-companies,,,
Loran,https://es.linkedin.com/in/mauroloran,https://www.catsensors.com/es/lorawan/tecnologia-lora-y-lorawan,https://www.crunchbase.com/organization/loran-technologies/org_similarity_overview,,,
PC DOCS,https://lk.linkedin.com/in/mohamed-rahuman-067b342b,https://www.globalspec.com/industrial-directory/pc_docs_document_management_software,Seed,"Jun 26, 2014",,
Positron Fibre Systems,https://ca.linkedin.com/in/reginald-weiser-08a32215,https://www.positronaccess.com/,https://www.crunchbase.com/organization/telecom-devices,,,
Teranet,https://www.linkedin.com/in/marty-swidler-7a66606,https://www.teranet.ca/industries/technology/,,,,
