Startup,Founding date,Last funding date,HQ Location (World),Industry/description,Founder LinkedIn,Status
# Exit Fund
SoloSuit,,,,"Facing a debt lawsuit can be daunting and confusing for many consumers, who often struggle to navigate the legal process and end up paying more than they should....",,
Arda Therapeutics,,,,"One in 6,600 people suffer from conditions like fibrosis with an average of 3.7 years left to live. There is no cure. Arda Therapeutics tackles these diseases ...",,
Legacy,,,,Did you know that every one out of six couples is infertile? Egg freezing has taken off but it's only half the story. Men face challenges with fertility too. Thi...,,
Earli,,,,"Detecting cancer early is a major challenge. To tackle this, serial entrepreneur Cyriac Roeding and former Benitec Biopharma CSO David Suhy founded Earli. Their ...",,
Proclaim,,,,"Gum disease affects 47% of adults over 30 and 70% over 65 in the U.S., leading to serious health issues like dementia, diabetes, and heart disease. Yet, traditio...",,
Zitara,,,,Imagine cutting battery downtime by over 90% and extending asset life by 20%—a game-changer for industries dependent on battery-powered systems. Zitara founded ...,,
BusinessOnBot,,,,Despite 450 million WhatsApp users in India D2C brands struggled to drive sales effectively on the platform. Recognizing this gap three IIT Madras graduates la...,,
Meticulate,,,,80% of investment managers use non-traditional data such as online reviews but this meticulous research takes time. Meticulate uses AI to make research fast and...,,
HiFi,,,,"Traditional payment infrastructures like SWIFT are outdated, with delays in 47% of transactions, high costs, and significant fraud risk. To tackle these issues, ...",,
Release,,,,Traditional financing options have long plagued multifamily property owners with rigid terms and lengthy approval processes. Existing deposit accounts fail to me...,,
C{Ai}R Health,,,,"In the healthcare industry, a staggering 86% of medical insurance claim denials are entirely preventable, often stemming from basic issues like incomplete patien...",,
Elythea,,,,Did you know that more than 80% of maternal deaths could be avoided through earlier intervention? Shockingly over 50% of mothers facing life-threatening compli...,,
MoneyPlanned,,,,Did you know that over 60% of young adults struggle with financial literacy often living paycheck to paycheck? In 2019 Sameer and Nikhila founded MoneyPlanned...,,
Plagood,,,,Can you image an app with a better engagement rate than TikTok? Plagood is changing the game by using Gen AI to produce videos with approx. 2X higher engagement...,,
Wallaroo,,,,90% of AI projects fail to deliver ROI making the transition from AI prototypes to actual results in production challenging. To address this the founder of Wa...,,
Samay,,,,"COPD was the third most common cause of death in 2019. It affects 30 million Americans, costing $61B annually in diagnosis. Driven by the loss of her grandmother...",,
