Query,URL,Startup,LinkedIn
"site:linkedin.com/in/ Zevello, India, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Zevello,
"site:linkedin.com/in/ Storypact, Austria, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Storypact,
"site:linkedin.com/in/ Directo Tech, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Directo Tech,https://www.linkedin.com/in/nickmartindqt
"site:linkedin.com/in/ Actiquest, United States, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Actiquest,
"site:linkedin.com/in/ Prosit Medical Intelligence, Mexico, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Prosit Medical Intelligence,
"site:linkedin.com/in/ Yaala Sparkling, Philippines, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Yaala Sparkling,https://au.linkedin.com/in/stephwithey
"site:linkedin.com/in/ Sunrise, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Sunrise,https://www.linkedin.com/in/laurent-martinot-aa372a43
"site:linkedin.com/in/ Nostal Homes, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Nostal Homes,https://www.linkedin.com/in/cem-polatoglu
"site:linkedin.com/in/ Conducco, Brazil, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Conducco,https://br.linkedin.com/in/marcelodionisiof/en
"site:linkedin.com/in/ 6S Pharma, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,6S Pharma,https://www.linkedin.com/in/ashok-illapakurthy-75b3b111
"site:linkedin.com/in/ Binpong, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Binpong,https://www.linkedin.com/in/kenneth-bimpong-0856a7111
"site:linkedin.com/in/ Mimrr, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Mimrr,https://www.linkedin.com/in/olaoludeji
"site:linkedin.com/in/ RegenX, Singapore, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,RegenX,https://uk.linkedin.com/in/stephenjhong
"site:linkedin.com/in/ Nexscient, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Nexscient,https://www.linkedin.com/in/fetannous
"site:linkedin.com/in/ Derecho al Derecho, Colombia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Derecho al Derecho,https://co.linkedin.com/in/andresfrodriguezp/en
"site:linkedin.com/in/ Briskpe, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Briskpe,https://in.linkedin.com/in/tripathysanjay
"site:linkedin.com/in/ Bem, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Bem,https://www.linkedin.com/in/abmirayo
"site:linkedin.com/in/ Juniper, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Juniper,https://uk.linkedin.com/in/ambrazhang
"site:linkedin.com/in/ Lea, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Lea,https://www.linkedin.com/in/lea-rutherford-b37236123
"site:linkedin.com/in/ Conduce Health, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Conduce Health,https://www.linkedin.com/in/eric-rosow
"site:linkedin.com/in/ Qa.tech, Sweden, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Qa.tech,https://se.linkedin.com/in/danielmaunopettersson
"site:linkedin.com/in/ Essence, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Essence,https://www.linkedin.com/in/essencepowell
"site:linkedin.com/in/ Unblock, Lithuania, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Unblock,https://lt.linkedin.com/in/johannes-kolbeinsson-29415a3
"site:linkedin.com/in/ Savoy Life, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Savoy Life,https://www.linkedin.com/in/petercemigh
"site:linkedin.com/in/ Nanobots Therapeutics, Spain, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Nanobots Therapeutics,https://es.linkedin.com/in/samuel-s%C3%A1nchez-ord%C3%B3%C3%B1ez-86726770
"site:linkedin.com/in/ Virtumeet Ai, India, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Virtumeet Ai,
"site:linkedin.com/in/ Beagle, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Beagle,https://www.linkedin.com/in/sergey-demyanov
"site:linkedin.com/in/ Aidora, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Aidora,https://www.linkedin.com/in/rhianagademsky
"site:linkedin.com/in/ Zella AI, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Zella AI,https://in.linkedin.com/in/harshuljain
"site:linkedin.com/in/ Colors-ai, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Colors-ai,https://www.linkedin.com/in/alonkichin
"site:linkedin.com/in/ Figr, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Figr,https://in.linkedin.com/in/chiragsingla17
"site:linkedin.com/in/ TabbyMl, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,TabbyMl,https://www.linkedin.com/in/lucygaolucy
"site:linkedin.com/in/ Algorized, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Algorized,https://www.linkedin.com/in/erandz
"site:linkedin.com/in/ Includ, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Includ,https://in.linkedin.com/in/shanti-raghavan
"site:linkedin.com/in/ Cusman, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Cusman,https://www.linkedin.com/in/chris-cushman-999819124
"site:linkedin.com/in/ Coolant, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Coolant,https://www.linkedin.com/in/michaeldwu
"site:linkedin.com/in/ Synqly, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Synqly,https://www.linkedin.com/in/joelbauman
"site:linkedin.com/in/ Dilan, Indonesia, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Dilan,https://id.linkedin.com/in/ariesrandy
"site:linkedin.com/in/ Catenary Robotics, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Catenary Robotics,https://www.linkedin.com/in/gregorytoutoundjian
"site:linkedin.com/in/ Carez, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Carez,https://ca.linkedin.com/in/ray-sadri
"site:linkedin.com/in/ Bobyard, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Bobyard,https://www.linkedin.com/in/michael-ding-933185189
"site:linkedin.com/in/ Feufo, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Feufo,https://www.linkedin.com/in/chysubaidullah
"site:linkedin.com/in/ Jigo AI, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Jigo AI,https://www.linkedin.com/in/ryanshlee
"site:linkedin.com/in/ Glass, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Glass,https://www.linkedin.com/in/johnfwysseiermba
"site:linkedin.com/in/ Zkhub, United States, founder","Error fetching result: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""a[jsname=""UWckNb""]""}
  (Session info: chrome=126.0.6478.127); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001007f6a0c chromedriver + 4385292
1   chromedriver                        0x00000001007ef318 chromedriver + 4354840
2   chromedriver                        0x000000010040cb0c chromedriver + 281356
3   chromedriver                        0x000000010044f2f8 chromedriver + 553720
4   chromedriver                        0x0000000100487d24 chromedriver + 785700
5   chromedriver                        0x0000000100443eec chromedriver + 507628
6   chromedriver                        0x00000001004448c4 chromedriver + 510148
7   chromedriver                        0x00000001007be3c8 chromedriver + 4154312
8   chromedriver                        0x00000001007c2e2c chromedriver + 4173356
9   chromedriver                        0x00000001007a3f84 chromedriver + 4046724
10  chromedriver                        0x00000001007c3718 chromedriver + 4175640
11  chromedriver                        0x0000000100796f44 chromedriver + 3993412
12  chromedriver                        0x00000001007e11a8 chromedriver + 4297128
13  chromedriver                        0x00000001007e1324 chromedriver + 4297508
14  chromedriver                        0x00000001007eef10 chromedriver + 4353808
15  libsystem_pthread.dylib             0x00000001894a1034 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018949be3c thread_start + 8
",,
,,Zkhub,
"site:linkedin.com/in/ SwapGPT, Singapore, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,SwapGPT,https://in.linkedin.com/in/shraddha-agarwal-isb
"site:linkedin.com/in/ Sensigo, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Sensigo,https://www.linkedin.com/in/rakeshhegde
"site:linkedin.com/in/ FlewBalt, India, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,FlewBalt,https://in.linkedin.com/in/trinadh-garlapati-2a2037295
"site:linkedin.com/in/ Tailwind Biotech, Denmark, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Tailwind Biotech,https://dk.linkedin.com/in/mirko-ceriani
"site:linkedin.com/in/ Quinas Technology, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Quinas Technology,https://pt.linkedin.com/in/sergio-duarte-01509250
"site:linkedin.com/in/ Citus, Switzerland, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Citus,https://ch.linkedin.com/in/david-sachs
"site:linkedin.com/in/ Infrared City, Austria, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,Infrared City,https://at.linkedin.com/in/angeloschronis
"site:linkedin.com/in/ ALAL Card, , founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,ALAL Card,https://sn.linkedin.com/in/el-hadji-doro-gueye
"site:linkedin.com/in/ SelectFi Lending Solutions, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,SelectFi Lending Solutions,https://www.linkedin.com/in/tommy-vullo-7a4354293
"site:linkedin.com/in/ SocialInbox, United Kingdom, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,SocialInbox,https://au.linkedin.com/in/jessicadavies1
"site:linkedin.com/in/ MedDefend, United States, founder",Error fetching result: name 'scrapeCrunchbase' is not defined,,
,,MedDefend,https://www.linkedin.com/in/sarah-porter-7227381b1
