Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Lyft,https://www.linkedin.com/in/johnzimmer11,https://www.lyft.com/,Series c,"Feb 21, 2024",,
Palantir,https://www.linkedin.com/in/shea-parikh,https://www.palantir.com/,,"Feb 21, 2024",,
Lucidchart,https://www.linkedin.com/in/karlsun,https://www.lucidchart.com/pages/,Seed,"Mar 1, 2021",,
Udemy,https://www.linkedin.com/in/gregg-coccari-2bb43110a,https://www.udemy.com/,Seed,"Jul 15, 2021",,
Gusto,https://il.linkedin.com/in/tomerlondon,https://gusto.com/,Seed,"Jan 28, 2023",,
GitLab,https://www.linkedin.com/in/sijbrandij,https://about.gitlab.com/stages-devops-lifecycle/,Seed,"Sep 17, 2019",,
Instacart,https://www.linkedin.com/in/apoorvamehta,https://www.instacart.com/,Series e,"Nov 1, 2021",,
Square,https://www.linkedin.com/in/mckelveyjim,https://squareup.com/us/en/payments/merchant-services,https://news.crunchbase.com/startups/fintech-startups-look-to-kill-swipe-fees-on-behalf-of-small-business-owners/,,,
Airtable,https://www.linkedin.com/in/howieliu,"https://www.thebricks.com/resources/how-to-use-airtable-as-a-database#:~:text=At%20its%20core%2C%20Airtable%20is,data%20all%20in%20one%20place.",https://news.crunchbase.com/venture/airtable-raises-100m-to-build-a-platform-one-block-at-a-time/,,,
Parse,https://de.linkedin.com/in/adam-kurkiewicz-37393681,https://www.back4app.com/parse,https://www.crunchbase.com/person/tikhon-bernstam/person_overview_investor/timeline,,,
Future Advisor,https://es.linkedin.com/in/juan-carlos-heredia-trigueros-mallorca,https://www.wealthmanagement.com/technology/blackrock-sells-futureadvisors-direct-consumer-business-ritholtz,Seed,"May 21, 2014",,
Everlane,https://www.linkedin.com/in/mpreysman,https://www.everlane.com/,https://www.crunchbase.com/organization/outdoor-voices/company_overview/overview_timeline,,,
Hellosign,https://www.linkedin.com/in/josephwalla,https://sign.dropbox.com/,https://www.crunchbase.com/organization/hellosign/company_overview/overview_timeline,,,
Beautylish,https://www.linkedin.com/in/nils-johnson-a753261,https://www.beautylish.com/,https://www.crunchbase.com/organization/beautylish,,,
Quartzy,https://www.linkedin.com/in/jayantekulkarni,https://www.quartzy.com/,Seed,"Dec 6, 2019",,
Citus Data,https://www.linkedin.com/in/umurc,https://www.citusdata.com/,Seed,"Jan 1, 2018",,
Pindrop,https://www.linkedin.com/in/vijayab,https://en.wikipedia.org/wiki/Pindrop_Security,Seed,"Jul 17, 2024",,
Remind,https://www.linkedin.com/in/brettkopf,"https://play.google.com/store/apps/details/Remind_School_Communication?id=com.remind101&hl=en_GB#:~:text=About%20this%20app&text=Remind%20is%20a%20communication%20platform,Keep%20personal%20contact%20information%20private.",Seed,"May 26, 2020",,
DogVacay,https://www.linkedin.com/in/karine-nissim-hirschhorn-7b58247,https://dogvacay.com/,Seed,"Nov 10, 2014",,
Quora,https://www.linkedin.com/in/dangelo,https://es.quora.com/,https://www.crunchbase.com/organization/grupo-autofin-monterrey/company_overview/overview_timeline,,,
Indiegogo,https://www.linkedin.com/in/indieslava,https://www.indiegogo.com/,Seed,"Jan 1, 2016",,
Lever,https://www.linkedin.com/in/sarahnahm,https://www.lever.co/,Seed,"Jan 5, 2022",,
Tubular,https://co.linkedin.com/in/jairo-gutierrez-97383a1b1,https://tubularlabs.com/,Seed,"Jun 1, 2016",,
Periscope,https://www.linkedin.com/in/kayvz,https://www.atlassian.com/data/business-intelligence/10-data-visualization-tools,https://www.crunchbase.com/organization/periscope-inc/company_overview/overview_timeline,,,
Chewse,https://www.linkedin.com/in/tracylawrence,https://www.bbcgoodfood.com/recipes/collection/family-lunch-recipes,https://www.crunchbase.com/acquisition/sargento-foods-inc-2-acquires-baker-cheese--ea28f9d2,,,
