Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Airvet,https://www.linkedin.com/in/brandonwerber,https://www.airvet.com/es,Series a,"May 24, 2023",,
Brace,https://www.linkedin.com/in/noah-cavanaugh,https://stavvy.com/mortgage-servicing-solution,Seed,"Jan 12, 2021",,
Casetext,https://www.linkedin.com/in/jakeheller,https://casetext.com/cocounsel/,Seed,"Jan 7, 2022",,
Darwin Homes,https://www.linkedin.com/in/ryanbroderick,https://www.darwinhomes.com/,Seed,"Jan 28, 2022",,
Figure Eight,https://www.linkedin.com/in/samuel-pachal-08b153183,https://aws.amazon.com/financial-services/partner-solutions/figure-eight/,Seed,"Jun 12, 2017",,
Float Health,https://www.linkedin.com/in/float-ryan,https://floathealth.com/,,"Jun 12, 2017",,
Flowspace,https://www.linkedin.com/in/beneachus,https://flow.space/,Seed,"Mar 15, 2021",,
Flyhomes,https://www.linkedin.com/in/tushar-garg-a6837445,https://flyhomes.com/,Seed,"May 10, 2021",,
Folloze,https://www.linkedin.com/in/brutman,https://www.folloze.com/,Seed,"Jul 28, 2021",,
Fossa,https://www.linkedin.com/in/kevinxizhao,https://fossa.com/,Seed,"Sep 6, 2023",,
Functionize,https://www.linkedin.com/in/tamascser,https://www.functionize.com/,Seed,"Jul 27, 2021",,
FutureAdvisor,https://www.linkedin.com/in/xujon,https://smartasset.com/financial-advisor/futureadvisor-review,https://www.crunchbase.com/organization/futurewise-financial-planners,,,
Gabi,https://pa.linkedin.com/in/gabi-g-47ba535,https://www.gabi.com/,https://www.crunchbase.com/organization/gallardo-insurance-agency,,,
HealthLoop,https://in.linkedin.com/in/ryanpsingh,https://www.getwellnetwork.com/,Series a,"May 15, 2017",,
Keyway,https://www.linkedin.com/in/matiasmrecchia,https://www.whykeyway.com/,https://www.crunchbase.com/funding_round/keyway-seed--f30439ba,,,
Kinetica,https://www.linkedin.com/in/negahban,https://www.kinetica.com/,,,,
Luminar,https://www.linkedin.com/in/austin-russell-49913755,https://www.luminartech.com/updates/luminar-enters-autonomous-vehicle-market-with-breakthrough-lidar,Series a,"Aug 6, 2024",,
Marvin,https://www.linkedin.com/in/prayagnarula,https://www.meetmarvin.com/,Seed,"May 11, 2021",,
MasonHub,https://www.linkedin.com/in/donnysalazar,https://masonhub.co/,https://www.crunchbase.com/organization/autotech-ventures/investor_summary/overview_timeline,,,
Navattic,https://www.linkedin.com/in/neil-mclean,https://www.navattic.com/,Seed,"Mar 17, 2022",,
Northstar,https://www.linkedin.com/in/williampeng,https://www.northstarmoney.com/,Seed,"Oct 13, 2022",,
NuBrakes,https://www.linkedin.com/in/walker-drewett-2ba05a96,https://nubrakes.com/,Seed,"Dec 1, 2021",,
OfferFit,https://www.linkedin.com/in/george-khachatryan,"https://www.offerfit.ai/content/blog-post/why-you-should-forget-about-a-b-testing#:~:text=The%20solution%3A%20continuous%20automated%20experimentation,B%20testing%20with%20AI%20testing.",https://www.crunchbase.com/organization/offerfit/company_overview/overview_timeline,,,
Owl,https://www.linkedin.com/in/lindseyerinwilson,https://nightowlsp.com/?srsltid=AfmBOorjZbiMvd_a7UBSZh2WYXE6CmpKRzBGb1SB6lFIDe_Od8xDM-PC,https://www.crunchbase.com/organization/owl-cyber-defense,,,
Parakeet Health,https://www.linkedin.com/in/maoeric1,"https://www.linkedin.com/company/parakeet-health#:~:text=Parakeet%20Health%20is%20an%20AI,referral%20management%20and%20patient%20outreach",https://www.crunchbase.com/organization/parakeet-health,,,
Particle Health,https://www.linkedin.com/in/troy-bannister-259a3235,https://www.particlehealth.com/,https://news.crunchbase.com/venture/particle-health-secures-12m-in-menlo-led-series-a-to-make-health-care-data-easier-to-access/,,,
PipeDreams,https://www.linkedin.com/in/dlaufer,https://pipedreams.com/,Seed,"Mar 26, 2024",,
Platform9,https://www.linkedin.com/in/madhuramaskasky,https://platform9.com/,Series a,"Jun 14, 2022",,
Possible,https://www.linkedin.com/in/tghuang,https://www.possiblefinance.com/,Seed,"May 3, 2022",,
ResQ,https://ca.linkedin.com/in/kuljeev-singh-1299a657,https://www.getresq.com/,Seed,"Aug 18, 2022",,
Robocorp,https://www.linkedin.com/in/antti-karjalainen-mba,https://robocorp.com/automation-ops/,Seed,"Jun 22, 2021",,
Roofstock,https://www.linkedin.com/in/gary-beasley-956647,https://www.roofstock.com/investment-property-marketplace,Series a,"Mar 10, 2022",,
Routefusion,https://www.linkedin.com/in/coltonseal,https://www.routefusion.com/,https://news.crunchbase.com/fintech-ecommerce/routefusion-channels-3-6m-seed/,,,
Savvy Wealth,https://www.linkedin.com/in/ritikmalhotra,https://www.savvywealth.com/,Seed,"Aug 5, 2024",,
Shoreline,https://www.linkedin.com/in/kishore-manghnani-8276723,https://www.shoreline.io/,Series a,"Mar 28, 2022",,
Skyflow,https://www.linkedin.com/in/toanshu,https://www.skyflow.com/product/pii-data-privacy-vault,Seed,"Mar 28, 2024",,
Smartrr,https://www.linkedin.com/in/gabriella-tegen,https://smartrr.com/,Seed,"Jan 18, 2023",,
Thrive Global,https://www.linkedin.com/in/ariannahuffington,https://thriveglobal.com/solutions/thriving-mind/,https://www.crunchbase.com/organization/thrive-global/company_overview/overview_timeline,,,
Tilled,https://www.linkedin.com/in/caleb-avery,https://www.tilled.com/,https://news.crunchbase.com/fintech-ecommerce/tilled-takes-a-new-approach-to-payfac-as-a-service-banks-11m-series-a/,,,
Totango,https://www.linkedin.com/in/guynirpaz,https://www.totango.com/,Seed,"Sep 29, 2021",,
Transfix,https://www.linkedin.com/in/drewmcelroy,https://transfix.io/,Seed,"Oct 19, 2023",,
Vendia,https://www.linkedin.com/in/timawagner,https://www.vendia.com/,Seed,"May 31, 2022",,
Vida,https://de.linkedin.com/in/tobias-engelmeier-vida,https://www.cambridge.org/core/books/handbook-of-behavior-change/BD76D0E53DB1BC2EE8C53C1603D45E6A,Series a,"Nov 9, 2023",,
Viewics,https://www.linkedin.com/in/timkuruvilla,https://www.healthcaretechoutlook.com/viewics,Seed,"Aug 2, 2016",,
Watershed,https://www.linkedin.com/in/christian-anderson-61548076,https://watershed.bio/,https://www.crunchbase.com/funding_round/watershed-informatics-series-a--674f5341,,,
XP Health,https://www.linkedin.com/in/aemoraes,https://www.xphealth.co/,Seed,"Sep 12, 2024",,
Zola,https://www.linkedin.com/in/shanlynma,https://www.zola.com/,Series a,"May 22, 2020",,
Check,https://co.linkedin.com/in/mariana-s%C3%A1nchez-56205aa9,https://www.bankofamerica.com/online-banking/ebills-faqs/,https://www.crunchbase.com/organization/billpay-2,,,
CloudKitchens,https://www.linkedin.com/in/rosanagambino,https://cloudkitchens.com/kitchen-rentals/,https://www.crunchbase.com/acquisition/cloudkitchens-acquires-foodstars-79e5--da388282,,,
Doximity,https://www.linkedin.com/in/jtangney,https://www.doximity.com/,Series a,"Sep 1, 2019",,
