Startup,LinkedIn,Website,Raised to Date,Date of latest funding
AIFleet,https://www.linkedin.com/company/aifleet,https://aifleet.com/,Seed,"Sep 10, 2024"
Alectio,https://www.linkedin.com/in/jennifer-prendki,https://alectio.com/,Seed,"Apr 1, 2021"
CrowdAI,https://www.linkedin.com/in/devaki-raj-31205826,https://www.crowdai.com/,Seed,"Apr 8, 2021"
Deepgram,https://www.linkedin.com/in/scott-stephenson-,https://deepgram.com/ai-glossary/machine-learning,Seed,"Nov 29, 2022"
EEG Foundation Model,https://www.linkedin.com/in/kurt-othmer-81574721,https://www.sciencedirect.com/science/article/pii/S0168010224000750,Pre-seed,Pre-Seed
Fort Robotics,https://www.linkedin.com/in/samueljreeves,https://www.fortrobotics.com/,Series a,"Jul 12, 2022"
Hyphen,https://www.linkedin.com/company/letshyphen,https://usehyphen.com/,Seed,"Mar 24, 2017"
Luda,https://es.linkedin.com/in/marcosalvescardoso,https://ludaprojects.com/,Seed,Seed
Orbital Materials,https://www.linkedin.com/company/orbitalmaterials,https://www.orbitalmaterials.com/,Seed,"Feb 21, 2024"
Osaro,https://www.linkedin.com/in/derik-pridmore-1451812,https://osaro.com/,Seed,"Aug 18, 2021"
Runway,https://www.linkedin.com/in/cvalenzuelab,https://runwayml.com/,Seed,"Jun 29, 2023"
Shadows,https://es.linkedin.com/in/esteban-ribot-39472,https://www.shadowrobot.com/artificial-intelligence-machine-learning/,https://www.crunchbase.com/organization/shadow-robot,
Soot,https://www.linkedin.com/in/jake-harper-a76361102,https://venturebeat.com/ai/boston-dynamics-says-ai-advances-for-spot-the-robo-dog-are-coming/,Seed,Seed
SparkAI,https://in.linkedin.com/in/dhyey-nikalwala-ab35ab1aa?trk=public_profile_browsemap,https://www.spark.ai/,https://www.crunchbase.com/organization/sparkai,
Stealth Personal Connection,https://www.linkedin.com/in/anmolbajajcom,https://apnews.com/38e0cd824cf14185a7ba1aad5c828a49,https://www.crunchbase.com/organization/stealth-ventures-b052,
Wayve,https://uk.linkedin.com/in/alexgkendall,https://wayve.ai/,Seed,"Aug 29, 2024"
