Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Sola,https://www.linkedin.com/in/wesley-pergament,https://www.youtube.com/watch?v=06Cwz1oUFV4,Pre-seed,Pre-Seed
StructureFlow,https://uk.linkedin.com/in/tim-follett-1271b163,https://www.structureflow.co/,Seed,"May 30, 2024"
SquareDash,https://www.linkedin.com/in/matt-fruge,https://www.squaredash.com/,Seed,"Mar 14, 2024"
Goodshuffle,https://www.linkedin.com/in/andrew-garcia-0791966,https://pro.goodshuffle.com/,Seed,"Feb 7, 2024"
Helix by HL,https://www.linkedin.com/in/ssnyder23,https://helixbyhl.com/,Seed,Seed
Legatics,https://uk.linkedin.com/in/aseale,https://www.legatics.com/,Seed,"Jun 24, 2021"
Participate,https://www.linkedin.com/in/markjotter,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/participate,https://www.crunchbase.com/organization/vif-international-education,
Ampersand,https://ke.linkedin.com/in/josh-whale,"https://es.wikipedia.org/wiki/%26#:~:text=El%20signo%20et%20(%26)%20es,nombre%20en%20ingl%C3%A9s%20%C2%ABampersand%C2%BB.",Seed,Seed
Gappify,https://www.linkedin.com/in/jothamty,https://www.gappify.com/,Seed,"May 1, 2023"
LeanLaw,https://www.linkedin.com/in/jonathonfishman,https://www.leanlaw.co/,Seed,"Mar 21, 2023"
Infinant,https://www.linkedin.com/in/riaz-syed-199b823,https://www.infinant.com/,Seed,Seed
InterPayments,https://www.linkedin.com/in/elina-sukharenko,https://www.interpayments.com/,Series a,Series A
AllWork,https://www.linkedin.com/in/earnest-walker-5451961b1,https://allworknow.com/,Seed,"Dec 1, 2022"
SRA Watchtower,https://www.linkedin.com/in/michael-glotz-109517,https://www.srawatchtower.com/,https://www.crunchbase.com/organization/sra-watchtower,
Hazeltree,https://www.linkedin.com/in/ayman-sakr-00a12b4,https://hazeltree.com/,Seed,"Aug 23, 2022"
VRGL,https://www.linkedin.com/in/josh-smith-67a03319,https://www.vrglwealth.com/,Series a,"Aug 29, 2024"
Xelix,https://uk.linkedin.com/in/phillip-watts-x9,https://www.xelix.mx/,Seed,"Jun 30, 2022"
Amaryllis,https://in.linkedin.com/in/shweta-sharma-8a929ba9,https://es.wikipedia.org/wiki/Amaryllis,Series a,"May 23, 2022"
Compliance.ai,https://www.linkedin.com/in/kayvanalikhani,https://www.compliance.ai/,Seed,"Aug 2, 2022"
Freight Science,https://www.linkedin.com/in/matt-foster-b563945,https://freightscience.com/,Series a,Series A
Plinqit,https://www.linkedin.com/in/kathleenecraig,https://plinqit.com/,Seed,"Feb 22, 2022"
Health Here,https://www.linkedin.com/in/rywells1,https://www.healthhere.com/,Seed,"Jun 25, 2024"
Pulsora,https://www.linkedin.com/in/murat-s%C3%B6nmez-5a68a716,https://www.pulsora.com/,Seed,"Sep 12, 2023"
Quavo,https://www.linkedin.com/in/joseph-w-mclean-18aab76,https://es.wikipedia.org/wiki/Quavo,Series a,"Apr 13, 2023"
Denim Social,https://www.linkedin.com/in/dougwilber,https://www.denimsocial.com/,Seed,"Mar 8, 2023"
