Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Airgoods,https://www.linkedin.com/in/aaron-farr,https://airgoods.com/,Pre-seed,"Sep 6, 2023"
Armadillo,https://co.linkedin.com/in/camilo-garzon-obregon-485b249a,https://es.wikipedia.org/wiki/Dasypodidae,Seed,"Oct 6, 2023"
Array Labs,https://www.linkedin.com/in/andrew-peterson-array-labs,https://www.arraylabs.io/,Seed,"Oct 25, 2022"
Axle,https://www.linkedin.com/in/sambogoch,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/axle,Pre-seed,Pre-Seed
Branch,https://www.linkedin.com/in/atifasiddiqi,https://branch.com.co/,Seed,"Feb 10, 2022"
BuildingSwell,https://www.linkedin.com/in/jordaneasterling,https://www.buildingswell.com/,Seed,"Mar 15, 2023"
Cadence One Five,https://www.linkedin.com/in/bomee,https://hello.c15.io/,https://www.crunchbase.com/organization/cadence-onefive,
Cambio,https://www.linkedin.com/in/stephaniegrayson,https://cambiocolombia.com/,Seed,"Jun 25, 2024"
Culdesac,https://es.linkedin.com/in/pepegarc%C3%ADa,https://es.wikipedia.org/wiki/Cul-de-sac,Seed,"Jan 20, 2022"
Doorsey,https://www.linkedin.com/in/john-dorsey-086a601b8,https://es.wikipedia.org/wiki/Jack_Dorsey,https://www.crunchbase.com/person/jack-dorsey,
Hammr,https://www.linkedin.com/in/brekgoin,https://www.hammr.com/,https://www.crunchbase.com/organization/hammer-5651,
Kift,https://uk.linkedin.com/in/samnarr,https://bonosvirtuales.com.co/,https://www.crunchbase.com/organization/kift,
Mechasys,https://ca.linkedin.com/in/william-st-pierre-840316b2,https://mechasys.ca/,Seed,"Jan 23, 2024"
Nesting,https://co.linkedin.com/in/mar%C3%ADa-camila-susunaga-7a781059,https://voximplant.com/es/blog/nesting-en-call-center,https://www.crunchbase.com/organization/nesting,
Nickel,https://fr.linkedin.com/in/hlebret,https://nickel.eu/es-es,https://www.crunchbase.com/organization/nickel-2093,
Obsess,https://www.linkedin.com/in/neha-singh-679a9b17,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/obsess,Seed,"Jul 13, 2022"
OneStopKitchen,https://www.linkedin.com/in/vijayarajgopinath,https://www.ycombinator.com/companies/onestopkitchen,Seed,Seed
Ox,https://www.linkedin.com/in/charuthomas,https://www.gettyimages.es/fotos/ox,Seed,"Apr 25, 2023"
Pantheon Design,https://ca.linkedin.com/in/bob-caoo,https://www.pantheondesign.com/,Seed,"Dec 19, 2023"
Pathways,https://www.linkedin.com/in/leise-sandeman,https://pathways.org/spanish/,Pre-seed,"Feb 14, 2024"
ProjectMark,https://www.linkedin.com/in/tom-deane-5b93b93a,https://www.projectmark.com/,Seed,"Sep 25, 2023"
Relic Care,https://www.linkedin.com/in/pankaj-kumar-6b05784,https://www.reliccare.com/,Series a,"Nov 8, 2023"
Rent Butter,https://www.linkedin.com/in/tom-raleigh-862557207,https://www.rentbutter.com/,Seed,Seed
Robinland,https://www.linkedin.com/in/scarletsijiachen,https://www.robinland.io/,https://www.crunchbase.com/organization/robinland,
STYLY inc,https://jp.linkedin.com/in/masahiroyamaguchi,https://styly.inc/,https://www.crunchbase.com/organization/styly,
Sentiyen,https://www.linkedin.com/in/brandon-borko-844701b2,https://www.sentiyen.com/,Seed,Seed
Stayflexi,https://www.linkedin.com/in/venkatsakamuri,https://business.stayflexi.com/,Seed,"Jun 29, 2021"
Sugar,https://www.linkedin.com/in/fatimadicko,"https://www.letras.com/maroon-5/sugar/significado.html#:~:text=La%20canci%C3%B3n%20juega%20con%20la,amor%20que%20el%20narrador%20anhela.",Seed,"Jul 22, 2021"
Sustain.Life,https://www.linkedin.com/in/annalee-bloomfield-37aa009,https://www.sustain.life/,Seed,"May 16, 2022"
TYB,https://in.linkedin.com/in/aayush-varma-59ab70239,https://procesojudicial.ramajudicial.gov.co/,Seed,"Mar 8, 2023"
Truehold,https://www.linkedin.com/in/eachanfletcher,https://www.truehold.com/,https://www.crunchbase.com/organization/truehold,
VBC,https://in.linkedin.com/in/bala-chandran-3b5539283,https://evotiendas.com/producto/vaso-vbc/,https://www.crunchbase.com/organization/vbc-ventures,
Venus Aerospace,https://www.linkedin.com/in/sduggleby,https://www.venusaero.com/,Seed,"Jun 6, 2023"
Wildr,https://www.linkedin.com/in/melissa-ravi,https://wildr.com/,Series a,"Apr 23, 2024"
