Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Ocrolus,https://www.linkedin.com/in/sam-bobley,https://www.ocrolus.com/lending-automation/,Seed,"Sep 22, 2021",,
Healchie,,http://healthit.uonbi.ac.ke/scaling_digital_health_infrastructure.html,,"Sep 22, 2021",,
Native Voice,https://www.linkedin.com/in/john-goscha-548000b,"https://play.google.com/store/apps/details?id=ai.nativevoice.app&hl=en#:~:text=About%20this%20app&text=The%20latest%20version%20of%20Native,the%20power%20of%20your%20voice.",https://www.crunchbase.com/organization/sova-ltd,,,
Shabodi,https://ca.linkedin.com/in/the-vikram-chopra,https://www.shabodi.com/,,,,
Scala,https://co.linkedin.com/in/veronica-perez-jaramillo-b1209a28a,https://bo.linkedin.com/company/scalacomputing,Series a,"Oct 24, 2019",,
Intus Care,https://www.linkedin.com/in/robbiefelton,https://www.intuscare.com/,Seed,"Jan 18, 2023",,
Rev,https://www.linkedin.com/in/jasonchicola,https://getrev.ai/,Seed,"Jun 1, 2021",,
Agnostiq,https://ca.linkedin.com/in/elliot-macgowan,https://agnostiq.ai/,Seed,"Apr 5, 2023",,
Wethos,https://www.linkedin.com/in/rachel-renock-7459146a,https://www.wethos.co/,Seed,"Sep 23, 2021",,
Fillogic,https://www.linkedin.com/in/william-thayer-71490519,https://fillogic.com/,Seed,"Nov 8, 2023",,
Margii,https://es.linkedin.com/in/margie-cabanas-a0491a3,https://www.nutritics.com/en/products/recipe-and-menu-management/,Seed,Seed,,
MessageYes,https://www.linkedin.com/in/davecotter1,https://www.sinch.com/news/sinch-takes-customer-messaging-next-level-ai-powered-smart-conversations-conversation-api/,Seed,"Oct 11, 2017",,
PrescientAI,https://www.linkedin.com/in/williamholtz,https://canvasbusinessmodel.com/blogs/how-it-works/prescient-ai-how-it-works,Seed,"Feb 26, 2024",,
Helix,https://co.linkedin.com/in/edisonarango,https://helixintel.com/features/,https://www.crunchbase.com/organization/helix-virtual-medicine,,,
Link,https://www.linkedin.com/in/ericshoykhet,https://iink.com/,Seed,"Oct 19, 2023",,
Nicklpass,https://www.linkedin.com/in/sumorwuo-zaza-nicklpass,https://www.nicklpass.com/,,"Oct 19, 2023",,
Supply Clinic,https://www.linkedin.com/in/scott-drucker-dmd-ms-88349451,https://www.supplyclinic.com/,https://www.crunchbase.com/person/jacob-drucker,,,
FanRally,https://www.linkedin.com/in/christophergiles,https://www.fanrally.com/,Seed,Seed,,
Rubik,https://www.linkedin.com/in/amar-%C5%A1ehi%C4%87-596853127,https://www.rubikhomes.com/,,Seed,,
Kartera,https://ca.linkedin.com/in/dorian-simon-790384157,https://www.kartera.com/calculator,https://www.crunchbase.com/organization/cartera-commerce/company_overview/overview_timeline,,,
Kredit,https://www.linkedin.com/in/davehanrahanjr,https://www.trykredit.com/,Seed,"Apr 26, 2022",,
401GO,https://www.linkedin.com/in/danielgbeck,https://401go.com/,,"Apr 26, 2022",,
Bixby,https://www.linkedin.com/in/bixbyjonathan/,https://www.f6s.com/livebixby,https://www.crunchbase.com/organization/alfred/company_overview/overview_timeline,,,
Turbodega,https://ca.linkedin.com/in/julioccastaneda,https://creativedestructionlab.com/companies/turbodega/,,,,
Knockri,https://ca.linkedin.com/in/jansari1,https://knockri.com/,Seed,"Oct 6, 2020",,
Debbie,https://es.linkedin.com/in/debbiemartin,https://www.joindebbie.com/,Seed,"Mar 4, 2024",,
Hark,https://www.linkedin.com/in/fbrzyski,https://www.sendhark.com/,https://www.crunchbase.com/hub/green-egg-ventures-portfolio-companies/hub_overview_default/timeline,,,
Suppli,https://www.linkedin.com/in/ryan-ayers-5199089a,https://www.gosuppli.com/,Seed,"Jan 6, 2021",,
REKalibrate,https://www.linkedin.com/in/rekalibratenick,https://www.rekalibrate.com/,https://www.crunchbase.com/organization/kettlespace,,,
API Fortress,https://www.linkedin.com/in/patrickrpoulin,https://www.apistack.io/apps/apifortress,https://www.crunchbase.com/organization/api-fortress,,,
Propensity,https://www.linkedin.com/in/sumnervanderhoof,https://www.propensity.com/,https://about.crunchbase.com/blog/lead-nurturing/,,,
VIVE,https://www.linkedin.com/in/shayna-gillerman-2b333914a,https://blog.vive.com/us/the-safe-zone-creates-immersive-vr-platform-to-support-young-peoples-mental-health-with-viverse/,Seed,"Aug 8, 2023",,
Polymer,https://www.linkedin.com/in/yassera,https://www.polymerhq.io/,Seed,"Oct 31, 2023",,
Ads On Top,https://co.linkedin.com/in/andresgiron/en,https://epom.com/blog/ad-server/digital-out-of-home,https://www.crunchbase.com/organization/hivestack,,,
Carl,https://es.linkedin.com/in/carl-krigstrom-38192a10,https://investwithcarl.com/,https://www.crunchbase.com/person/carl-jones-4,,,
DeepSurface,https://www.linkedin.com/in/jamesdirksen,https://deepsurface.com/,Seed,"Feb 8, 2022",,
Aren,https://am.linkedin.com/in/aren-davidian-b470161b,https://www.cemexventures.com/top-50-startups/aren/,Seed,"Sep 20, 2021",,
Beam,https://sg.linkedin.com/in/alanjjiang,https://www.beam.healthcare/,Seed,"Jan 1, 2023",,
Cleared,https://www.linkedin.com/in/cole-lindquist-b659bb316,https://getcleared.com/,https://www.crunchbase.com/organization/cleared,,,
TruVue,https://www.linkedin.com/in/alyssanolte,https://www.truvueanalytics.com/what-we-do/,,,,
Tobly,https://www.linkedin.com/in/pablocarvallo/en,https://www.tobly.com/,https://www.crunchbase.com/organization/tobly-co,,,
Agent,https://www.linkedin.com/in/conrad-thompson-1133a4201,https://www.joinagent.com/,Seed,Seed,,
Kiwi for Gmail,https://www.linkedin.com/in/ericshashoua,"https://www.kiwiforgmail.com/#:~:text=Kiwi%20is%20a%20desktop%20application,tools%20into%20powerful%20desktop%20applications.",Seed,"Apr 11, 2021",,
