Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Allocadia,https://ca.linkedin.com/in/ksteuart,https://www.uptempo.io/allocadia/,Seed,"Dec 2, 2015",,
Arkestro,https://www.linkedin.com/in/edmund-zagorin-41291b13,https://arkestro.com/,Seed,"Jun 14, 2022",,
Bedrock,https://www.linkedin.com/in/geofflewis1,https://www.minecraft.net/es-mx/download/server/bedrock,https://www.crunchbase.com/organization/bedrock-capital,,,
Birdie,https://uk.linkedin.com/in/max-parmentier-8592603,https://www.letras.com/leon-larregui/birdie/,Seed,"Jun 28, 2022",,
BrightEdge,https://www.linkedin.com/in/jimyu1,https://www.brightedge.com/,Series a,"Jun 11, 2013",,
CaféX,https://co.linkedin.com/in/paola-laguna-27b230281,https://www.cafex.com/,Series a,"Jan 26, 2017",,
CalmSea,https://ir.linkedin.com/in/farhood-ghasemi-98a663278,http://www.calmsea.com.cn/,Seed,"Jul 23, 2012",,
Contentstack,https://www.linkedin.com/in/nehasampat,https://www.contentstack.com/,Seed,"Nov 15, 2022",,
ContinualIQ,,https://illuminate.com/projects/continual-iq/,,"Nov 15, 2022",,
Coupang,https://www.linkedin.com/in/bom-kim-a6a28151,https://m.coupang.com/,Series a,"Jan 1, 2021",,
Digital Fuel,https://www.linkedin.com/in/anuj-chauhan-443011181,https://es.wikipedia.org/wiki/Digital_Fuel,Seed,"Mar 21, 2008",,
Hoopla,https://ae.linkedin.com/in/jacquelineperrottet,https://www.hoopladigital.com/,https://www.crunchbase.com/organization/hoopla,,,
Influitive,https://ca.linkedin.com/in/markorgan,https://influitive.com/,Seed,"Feb 14, 2019",,
Jacobi,https://es.linkedin.com/in/karl-jacobi-56969129,https://es.wikipedia.org/wiki/Carl_Gustav_Jakob_Jacobi,Seed,"Jul 11, 2024",,
JetStream,https://www.linkedin.com/in/annielee12,https://jetstream.laravel.com/,https://www.crunchbase.com/organization/jetstream-6ad0,,,
Joinder,https://www.linkedin.com/in/anjoiner,"https://web.juringles.es/glosario/ingles-espanol/joinder#:~:text=Definici%C3%B3n,general%2C%20unir%20o%20juntar%20algo.",https://www.crunchbase.com/organization/joinder,,,
mpathic,https://www.linkedin.com/in/grinlord,https://mpathic.ai/,https://www.crunchbase.com/organization/empathic-clinical-software,,,
nFlux,https://www.linkedin.com/in/seyedsajjadi,https://www.nflux.ai/,Seed,"Jul 6, 2023",,
Opsmatic,https://www.linkedin.com/in/judyrobinett,https://docs.datadoghq.com/integrations/opsmatic/,Seed,Seed,,
PBN,https://www.linkedin.com/in/alexander-betz-6a3316271,https://es.wikipedia.org/wiki/Navegaci%C3%B3n_basada_en_la_performance,https://www.crunchbase.com/organization/pbn,,,
