Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Breezeway,https://www.linkedin.com/in/jeremiahgall,https://www.breezeway.io/,https://www.crunchbase.com/organization/breezeway/org_similarity_overview,
Büro,https://mx.linkedin.com/in/marcoestrada,"https://www.santander.com/es/stories/que-es-el-coworking#:~:text=Conocemos%20el%20coworking%20como%20un,startups%20pueden%20desarrollar%20su%20actividad.",https://www.crunchbase.com/organization/b%C3%BCro,
Cohealo,https://in.linkedin.com/in/dr-kokila-kakhandaki-85a7096,https://cohealo.com/,https://www.crunchbase.com/organization/amercan-hospital-association/company_overview/overview_timeline,
DeepBlocks,https://www.linkedin.com/in/oliviaramosai,https://deepblocks.com/,Seed,"Jan 30, 2023"
EquipmentShare,https://www.linkedin.com/in/bradsiegler,https://www.equipmentshare.com/,Seed,"Apr 16, 2024"
Flourish,https://www.linkedin.com/in/pedro--moura,https://www.flourishsoftware.com/,Seed,"Jun 21, 2021"
GT Metabolic Solutions,https://www.linkedin.com/in/thierry-thaure-a0b567172,https://gtmetabolic.com/,Series a,"Mar 12, 2024"
Heru,https://mx.linkedin.com/in/jaramillomateo,https://www.heru.app/,Seed,"May 20, 2021"
HomeLight,https://www.linkedin.com/in/drewuher,https://www.homelight.com/,Series a,"Aug 26, 2024"
Inner Cosmos,https://www.linkedin.com/in/meron-gribetz-25b6673,https://innercosmos.io/,https://www.crunchbase.com/organization/cosmos-holdings,
Insightec,https://www.linkedin.com/in/maurice-r-ferre-m-d-9611b36,https://insightec.com/,Series b,"Jun 18, 2024"
Kashable,https://www.linkedin.com/in/rishi-kumar-560208,https://www.kashable.com/,Seed,"Jan 18, 2024"
Letterhead,https://www.linkedin.com/in/brucepinchbeckjr,https://www.tryletterhead.com/,Seed,Seed
LogicInk,https://www.linkedin.com/in/carlos-olguin-a662,https://logicink.com/,https://www.crunchbase.com/organization/sky-ventures-group/recent_investments,
Memic,https://www.linkedin.com/in/michaelbourque,https://www.memic.com/workers/your-benefits/medical,Seed,"Apr 12, 2021"
Nearpod,https://www.linkedin.com/in/pepcarrera,https://nearpod.com/blog/interactive-edtech-online-learning-physical-classroom/,Seed,"Mar 1, 2017"
Remoov,https://www.linkedin.com/in/luisp128,https://remoovit.com/,Seed,"Dec 1, 2021"
SeedInvest,https://www.linkedin.com/in/ryanfeit,https://www.seedinvest.com/login,https://lb.crunchbase.com/organization/seedinvest/investor_summary/overview_timeline,
Sellbrite,https://www.linkedin.com/in/briancnolan,https://www.sellbrite.com/,Seed,"Dec 8, 2017"
Wheels Up,https://www.linkedin.com/in/kenny-dichter-89681a53,https://www.wheelsup.com/,Series c,"Aug 15, 2023"
Wesper,https://www.linkedin.com/in/amirreuveny,https://wesper.co/,https://www.crunchbase.com/organization/urology-center-of-southern-california/org_similarity_overview,
Wyre,https://www.linkedin.com/in/yanni-giannaros,https://www.sendwyre.com/,Seed,"Dec 12, 2021"
