Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Manifest,https://in.linkedin.com/in/raahil-chopra-93878a18,https://es.wikipedia.org/wiki/Manifest_(serie_de_televisi%C3%B3n),Pre-seed,Pre-Seed
Swiftlane,https://www.linkedin.com/in/bajajs,https://swiftlane.com/,https://www.crunchbase.com/organization/swiftlane,
Blueprint,https://www.linkedin.com/in/bryanrjohnson,https://es-la.facebook.com/business/learn,Seed,"Jun 27, 2023"
Alcove,https://www.linkedin.com/in/mariana-garza,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/alcove,Seed,"Jan 1, 2024"
Owners,https://co.linkedin.com/in/simonborrero,https://www.linguee.es/ingles-espanol/traduccion/owners.html#:~:text=propietario%20m%20(plural%3A%20propietarios%20m),https://www.crunchbase.com/organization/owners,
Arx City,https://www.linkedin.com/in/tomas-garcia-15878721,https://www.arx.city/,https://www.crunchbase.com/organization/arx-city,
Acre,https://uk.linkedin.com/in/antoine-christoforou-820b496a,https://es.wikipedia.org/wiki/Acre_(unidad_de_superficie),https://www.crunchbase.com/organization/acre-1b02,
OrderOut,https://www.linkedin.com/in/thibaultleconte,https://www.orderout.co/,https://www.crunchbase.com/organization/orderout,
OnTraccr,https://ca.linkedin.com/in/syednahmed,https://www.ontraccr.com/,Seed,"Mar 6, 2024"
Enaia,https://www.linkedin.com/in/davidyyoung,https://enaia.co/,Seed,"Sep 18, 2024"
Tongo,https://il.linkedin.com/in/matan-berkowitz,https://es.wikipedia.org/wiki/Tongo,Seed,"Apr 11, 2023"
Parcl,https://www.linkedin.com/in/trevor-bacon-1a81b221,https://www.parcl.co/,Seed,"May 17, 2022"
Fyxt,https://www.linkedin.com/in/ryan-botwinick-2264a1ba,https://fyxt.com/,Seed,"May 24, 2022"
Alfred,https://www.linkedin.com/in/jessbeck,https://alfred.co/,Seed,"Dec 1, 2021"
Tour24,https://www.linkedin.com/in/georgianna-w-oliver-5202484,https://www.tour24.io/,Seed,"Jun 9, 2023"
BuildClub,https://www.linkedin.com/in/forte,https://www.buildclub.com/?srsltid=AfmBOorr-hqbXXkhQRtQC8h-eEl2hCvRLecnsHiBxIPtdB1IN3InsQ0s,Seed,"Jan 22, 2024"
HelixINTEL,https://www.linkedin.com/in/matthew-rutter-5818139,https://helixintel.com/,Seed,"Jun 12, 2023"
Rabbu,https://www.linkedin.com/in/itsjms,https://rabbu.com/,Seed,"Nov 20, 2023"
Green Canopy NODE,https://www.linkedin.com/in/bec-wilder,https://www.greencanopynode.com/,Seed,"Feb 4, 2022"
SmartBarrel,https://www.linkedin.com/in/albert-boufadel,https://smartbarrel.io/,Seed,"Feb 29, 2024"
Knowify,https://www.linkedin.com/in/marc-visent-62b7b017,https://www.knowify.com/,Seed,"Jul 10, 2023"
Bricksave,https://www.linkedin.com/in/sofiagancedo/en,https://www.bricksave.com/,Seed,"Dec 15, 2022"
beycome,https://www.linkedin.com/in/nico-jodin,https://www.beycome.com/,https://www.crunchbase.com/organization/beycome-com,
Expetitle,https://www.linkedin.com/in/seancldaly,https://www.labventures.co/posts/expetitle-start-to-sale,Seed,"Sep 28, 2021"
