Startup,Crunchbase URL,Raised to Date,Date of Latest Funding
Aqua Security,https://www.crunchbase.com/organization/aquasecurity,Seed,"Jan 3, 2024"
Arctic Wolf,https://www.crunchbase.com/organization/arctic-wolf-networks,Series a,"Oct 6, 2022"
Believer,https://music.youtube.com/watch?v=7wtfhZwyrcc&list=RDCLAK5uy_mlCByo5eM1tLBhUdMyn2GphTXICCM_W1w,Series a,
Cato Networks,https://www.crunchbase.com/organization/cato-networks,Series a,"Sep 19, 2023"
Daily Harvest,https://www.crunchbase.com/organization/daily-harvest,Seed,"Nov 15, 2021"
Eightfold,https://www.crunchbase.com/organization/eightfold,Series a,"Jun 10, 2021"
Faire,https://www.crunchbase.com/organization/indigo-fair,Seed,"Sep 27, 2023"
Found,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/,,
Glean,https://www.crunchbase.com/organization/scio-technologies,Series a,"Sep 10, 2024"
Grafana,https://www.crunchbase.com/organization/raintank,Seed,"Aug 21, 2024"
Guardant Health,https://www.crunchbase.com/organization/guardant-health,Series a,"Dec 21, 2023"
Haus Laboratories,https://www.crunchbase.com/organization/haus-beauty,Series a,
Magic Eden,https://www.crunchbase.com/organization/magic-eden,,
Matillion,https://www.crunchbase.com/organization/matillion,Series a,"Nov 8, 2022"
Multiverse,https://www.dragonball-multiverse.com/es/accueil.html,,
Nest,https://www.crunchbase.com/organization/nestjs,,
Netskope,https://www.crunchbase.com/organization/netskope,Series c,"Jan 5, 2023"
Noname Security,https://www.crunchbase.com/organization/noname-security,Series a,"Dec 15, 2021"
Nutanix,https://www.crunchbase.com/organization/nutanix,Series c,"Aug 27, 2020"
Offchain Labs,https://www.crunchbase.com/organization/offchain-labs,Seed,
Payhawk,https://www.crunchbase.com/organization/payhawk,Seed,"Mar 1, 2022"
Pika,https://www.crunchbase.com/organization/pika-2a05,Seed,"Jun 5, 2024"
Resilience,https://www.crunchbase.com/organization/resilience-care,Seed,"May 21, 2024"
Skild AI,https://www.crunchbase.com/organization/skild-ai,Series a,Series A
Teneobio,https://www.crunchbase.com/organization/teneobio,,
Typeface,https://www.crunchbase.com/organization/typeface,Series a,"Jun 30, 2023"
Vinted,https://www.crunchbase.com/organization/vinted,Series a,"Dec 1, 2023"
