Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Carta,https://www.linkedin.com/in/heward,https://carta.com/equity-management/cap-table/,https://www.crunchbase.com/organization/eshares/company_overview/overview_timeline,
tohigherground.com,https://www.linkedin.com/in/ray-girn-6044046,https://www.tohigherground.com/,https://www.crunchbase.com/organization/higher-ground-education,
yourfuzzy.com,https://www.linkedin.com/in/zubinbhettay,https://www.instagram.com/yourfuzzy/,Seed,"Nov 22, 2021"
helloyumi.com,https://www.linkedin.com/in/evelynrusli,https://helloyumi.com/,Seed,"Feb 9, 2024"
Ironclad,https://www.linkedin.com/in/jboehmig,https://ironcladapp.com/,Seed,"Jan 18, 2022"
shiru.com,https://www.linkedin.com/in/jasminhume,https://shiru.com/,Seed,"Oct 20, 2022"
bumblebeespaces.com,https://www.linkedin.com/in/sankarshan-murthy-6862b0a,https://bumblebeespaces.com/,Seed,"Nov 16, 2021"
sayrhino.com,https://www.linkedin.com/in/psarva,https://www.sayrhino.com/,Seed,"Jan 24, 2022"
Snapdocs,https://www.linkedin.com/in/aaronwking,https://www.snapdocs.com/,https://news.crunchbase.com/venture/snapdocs-secures-25m-to-make-real-estate-closings-less-tedious/,
livefeather.com,https://www.linkedin.com/in/jayjreno,https://www.livefeather.com/,Seed,"Aug 3, 2020"
brilliant.tech,https://www.linkedin.com/in/aaronemigh,https://www.brilliant.tech/?srsltid=AfmBOooBdHfqEEmqjKhb6gXpgOz9OzQXIItLMrjvlDs8MdhbshAtnFYR,Seed,"Aug 30, 2021"
RAISE,https://www.linkedin.com/in/gbousis,https://www.raise.work/,Seed,"Jun 24, 2020"
mightybuildings.com,https://www.linkedin.com/in/dimastar,https://www.mightybuildings.com/,https://www.crunchbase.com/organization/mighty-buildings,
stensul.com,https://www.linkedin.com/in/noahdinkin,https://stensul.com/,Seed,"Nov 30, 2023"
kitchenunited.com,https://www.linkedin.com/in/atulsood,https://www.linkedin.com/company/kitchen-united,Seed,"Jul 25, 2022"
soraschools.com,https://www.linkedin.com/in/itsristo,https://soraschools.com/,Seed,"Mar 15, 2024"
Turing,https://www.linkedin.com/in/jonsid,https://www.turing.com/,Seed,"Dec 7, 2021"
botkeeper.com,https://www.linkedin.com/in/enricopalmerino,https://www.botkeeper.com/,Seed,"Nov 4, 2021"
openland.com,https://www.linkedin.com/in/lifshits,https://openland.com/,Seed,"Aug 30, 2018"
codecombat.com,https://www.linkedin.com/in/nwinter,https://codecombat.com/,Seed,"Sep 28, 2020"
ziffyhomes.com,https://www.linkedin.com/in/sanchal,http://ziffyhomes.com/,Seed,"Oct 19, 2019"
Clearbanc,https://ca.linkedin.com/in/micheleromanow,https://clear.co/,https://news.crunchbase.com/venture/clearbancs-new-250m-fund-and-why-it-sold-50m-in-equity-to-invest-equity-free/,
doppler.com,https://www.linkedin.com/in/vallelungabrian,https://www.doppler.com/,Seed,"Feb 10, 2023"
givelegacy.com,https://www.linkedin.com/in/kteily,https://www.givelegacy.com/,Seed,"Jul 18, 2024"
cloudthread.io,https://www.linkedin.com/in/danielepackard,https://www.cloudthread.io/,Seed,"Dec 15, 2021"
Mosaic,https://www.linkedin.com/in/itsjmeyer,https://mosaic.us/,Seed,"Nov 1, 2021"
steadily.com,https://www.linkedin.com/in/darrensnix,https://www.steadily.com/,Seed,"Jul 5, 2023"
cart.com,https://www.linkedin.com/in/omairtariqcartfounder,https://cart.com/,Series b,"Jul 17, 2024"
prenda.com,https://www.linkedin.com/in/kellysmith35,https://www.prenda.com/,Seed,"Jun 13, 2022"
pearpop.com,https://www.linkedin.com/in/cole-mason-3201361b0,https://pearpop.com/,Seed,"Nov 29, 2022"
scratchpad.com,https://www.linkedin.com/in/pouyansalehi,https://www.scratchpad.com/,Seed,"Jan 25, 2022"
digi-prex.com,https://www.linkedin.com/in/samarth-sindhi-694530a7,https://www.digi-prex.com/,Seed,"Sep 20, 2019"
get.fountain.com,https://www.linkedin.com/in/seanbehr,https://www.fountain.com/,Seed,"Jun 15, 2022"
