Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Amper,https://www.linkedin.com/in/akshatthirani,https://www.exito.com/bebida-energizante-energy-drink-spartan-473-ml-3109552/p?srsltid=AfmBOoqL6WlaR8X6YMFyvwVRkfhzuiRZ_PJq-xKFh21jPuBz3BgejS8I,Seed,"Dec 9, 2019",,
Arnie,https://www.linkedin.com/in/arniebellini,"https://www.diezminutos.es/maternidad/embarazo/g60071801/nombres-americanos-nino-significado/#:~:text=Arnie%3A%20nombre%20popular%20en%20Estados,%22fuerte%20como%20un%20%C3%A1guila%22.",Seed,"Oct 11, 2021",,
Aster,https://pk.linkedin.com/in/falak-shaikhani-08569464,https://www.ibikcolombia.com/,https://www.crunchbase.com/organization/aster-111d,,,
Botco,https://www.linkedin.com/in/rebeccaclyde,https://www.botcopolimerocolombia.com/,Seed,"Aug 19, 2024",,
Breinify,https://www.linkedin.com/in/dianekeng,https://home.breinify.ai/,Seed,"Apr 10, 2021",,
Chow Central,https://ng.linkedin.com/in/christopherobasi,https://www.chowcentral.com/,Pre-seed,Pre-Seed,,
Cloud Poker Night,https://www.linkedin.com/in/joseph-mravca-39629756,https://www.cloudpokernight.com/,https://www.crunchbase.com/event/2021-openocean-poker-night,,,
Coop,https://www.linkedin.com/in/ajforsythe,https://coopminutodedios.com/,https://www.crunchbase.com/organization/coop-cooperativa-de-consumo,,,
Crave,https://www.linkedin.com/in/tichang,https://www.crave.ca/en,https://www.crunchbase.com/organization/crave-com,,,
Cred,https://in.linkedin.com/in/kunalshah1,https://cred.club/,https://www.crunchbase.com/organization/cred-6ab0,,,
Demo Studios,https://www.linkedin.com/in/alec-stallman-91541b215,https://www.demo.studio/,https://www.crunchbase.com/event/starter-studio-demo-day,,,
Dobby,https://www.linkedin.com/in/satadrusg,https://harrypotter.fandom.com/es/wiki/Dobby,Seed,"May 15, 2022",,
Elyos Energy,https://uk.linkedin.com/in/pstrav,https://www.elyosenergy.com/,Seed,"Oct 13, 2023",,
Empower Sleep,https://www.linkedin.com/in/choprasagar,https://www.empowersleep.com/,https://www.crunchbase.com/organization/empower-sleep,,,
Five to Nine,https://www.linkedin.com/in/jasmine-shells,https://www.ingles.com/traductor/it's%20five%20to%20nine,Seed,"May 6, 2024",,
Foresight,https://www.linkedin.com/in/davidfontain,"https://www.strategicforesight.es/blog/que-es-strategic-foresight/#:~:text=FORESIGHT%3A%20Este%20t%C3%A9rmino%20introduce%20un,que%20ver%20con%20la%20VISI%C3%93N.",https://www.crunchbase.com/organization/foresight,,,
Frenzy,https://www.linkedin.com/in/james-chang-b23b4929,https://www.linguee.es/ingles-espanol/traduccion/frenzy.html#:~:text=torbellino%20m%20%5Bcoloq.%5D,https://www.crunchbase.com/organization/frenzy-7422,,,
Glidian,https://www.linkedin.com/in/ashish-dua,https://www.glidian.com/,https://www.crunchbase.com/organization/glidian,,,
Grounfloor Club,https://www.linkedin.com/in/jermaine-ijieh,https://groundfloorclub.com/,Pre-seed,Pre-Seed,,
Hearth,https://www.linkedin.com/in/susietypherharrison,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/hearth,Seed,"Sep 14, 2023",,
Holloway,https://www.linkedin.com/in/kennethholloway24,https://es.wikipedia.org/wiki/Max_Holloway,Seed,"Aug 1, 2019",,
Hopthru,https://www.linkedin.com/in/danielradding,https://www.hopthru.com/,https://www.crunchbase.com/organization/hopthru,,,
Hydra,https://www.linkedin.com/in/joshykobyashi,https://es.wikipedia.org/wiki/Hydrozoa,https://www.crunchbase.com/organization/hydra-7681,,,
Hype,https://ae.linkedin.com/in/raghavbelavadi,https://hype.com.co/?srsltid=AfmBOorxKF0ypyTOXpCw3qlC1W0y7JGMe4ZOsODO4_HFeLDlsS4qRkdG,Seed,"Apr 5, 2023",,
HypergameAI,https://www.linkedin.com/in/dursey,https://hype.games/co,https://www.crunchbase.com/organization/hyper-games,,,
Knoetic,https://www.linkedin.com/in/josephquan,https://www.knoetic.com/,Seed,"Sep 21, 2022",,
Kyte,https://www.linkedin.com/in/schoenack/en,https://www.appkyte.com/,Seed,"Mar 15, 2024",,
Leda Health,https://www.linkedin.com/in/madisonacampbell,https://www.leda.co/,Seed,"Mar 30, 2023",,
Levra,https://uk.linkedin.com/in/emilygilllevra,https://www.levra.me/,https://www.crunchbase.com/organization/levra-foundation,,,
Loula,https://uk.linkedin.com/in/loulamercedes,https://pocoyo.fandom.com/es/wiki/Loula,Pre-seed,Pre-Seed,,
Lumen Orbit,https://www.linkedin.com/in/johnstonphilip,https://www.lumenorbit.com/,Pre-seed,"Jul 1, 2024",,
Marble,https://fr.linkedin.com/in/btincq,https://www.marbleheadhunter.com/,Seed,"Nov 15, 2022",,
