Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Ocrolus,https://www.linkedin.com/in/sam-bobley,"https://www.ocrolus.com/product/#:~:text=Ocrolus%20can%20process%20a%20wide,data%20found%20in%20these%20documents.",Seed,"Sep 22, 2021",,
Frame AI,https://www.linkedin.com/in/georgebdavis,https://frame.ai/,Seed,"Nov 30, 2022",,
DISQO,https://www.linkedin.com/in/armenadjemian,https://www.disqo.com/,Series a,"Nov 27, 2019",,
Entera,https://www.linkedin.com/in/martinlkay,https://www.entera.ai/,,"Nov 27, 2019",,
Windfall,https://www.linkedin.com/in/arupbanerjee,"https://app.snowflake.com/marketplace/listing/GZ2FQZ5211L/windfall-data-affluent-household-net-worth-estimates-and-data#:~:text=About%20Windfall%20Data,up%2Dto%2Ddate%20data.",Seed,"May 17, 2022",,
Vistapath,https://www.linkedin.com/in/timothy-spong-a5529572,https://www.vistapath.ai/ensuring-patient-safety-in-anatomic-pathology-labs-the-unseen-benefits-of-ai-augmentation/,,"May 17, 2022",,
Writer,https://www.linkedin.com/in/may-habib,https://writer.com/,https://www.crunchbase.com/hub/california-early-stage-companies-more-than-100-employees/hub_overview_default/timeline,,,
Fairmarkit,https://www.linkedin.com/in/kevin-frechette-49652921,https://www.fairmarkit.com/tail-spend,Seed,"Sep 1, 2022",,
User Interviews,https://www.linkedin.com/in/baselfakhoury,https://www.userinterviews.com/integrations,https://www.crunchbase.com/organization/qualitative,,,
Alchemy,https://www.linkedin.com/in/nikilster,https://www.alchemy.cloud/products/lab-platform,https://news.crunchbase.com/unicorn-company-list/,,,
Vizion,https://www.linkedin.com/in/kylehenderson,https://www.vizionapi.com/container-tracking/api-overview,Seed,"Jul 19, 2022",,
Zentist,https://www.linkedin.com/in/atokasymov,https://www.zentist.io/,Seed,"Sep 11, 2024",,
Interop.io,https://uk.linkedin.com/in/kensayer,https://interop.io/,https://www.crunchbase.com/organization/finsemble,,,
Radion Health,https://www.linkedin.com/in/stephen-rosenthal-a98970218,https://www.radionhealth.com/,,,,
OnSiteIQ,https://www.linkedin.com/in/ardalankhosrowpour,https://www.onsiteiq.io/,Seed,"Jan 26, 2022",,
Instnt,https://www.linkedin.com/in/sunilmadhu,https://www.instnt.org/,Seed,"Nov 29, 2022",,
Pave,https://www.linkedin.com/in/matt-schulman-15911861,https://pave.dev/,Seed,"Jul 1, 2023",,
Pandium,https://www.linkedin.com/in/cristina-flaschen,https://www.pandium.com/in-app-marketplace,Seed,"Dec 31, 2018",,
Marpipe,https://www.linkedin.com/in/danpantelo,https://www.marpipe.com/,,"Dec 31, 2018",,
Smile Identity,https://uk.linkedin.com/in/markstraub,https://usesmileid.com/,,"Dec 31, 2018",,
Bold Metrics,https://www.linkedin.com/in/dainaburnes,"https://boldmetrics.com/#:~:text=AI%2DDriven%20Digital%20Twin%20Technology,the%20power%20of%20body%20data.",https://www.crunchbase.com/organization/cappasity-inc/company_overview/overview_timeline,,,
Xilo,https://www.linkedin.com/in/jonathancorrin,https://www.xilo.io/,,,,
Bitnomial,https://www.linkedin.com/in/lukehoersten,https://bitnomial.com/,,,,
Wethos,https://www.linkedin.com/in/rachel-renock-7459146a,https://www.wethos.co/,Seed,"Sep 23, 2021",,
LendingFront,https://www.linkedin.com/in/jorgesun,https://lendingfront.com/,,"Sep 23, 2021",,
BondCliQ,https://www.linkedin.com/in/chris-white-bb39233,"https://aws.amazon.com/marketplace/seller-profile?id=0718a906-a3ce-4810-964b-0e7642fb112d#:~:text=BondCliQ%20is%20a%20market%20data,providers%20for%20buy%2Dside%20clients.",Seed,"Jun 27, 2024",,
Closir,https://uk.linkedin.com/in/mikechoj,"https://www.bloomberg.com/profile/company/2222647D:LN#:~:text=Closir%20Ltd%20is%20a%20investor,in%20emerging%20and%20frontier%20markets.",https://news.crunchbase.com/seed/asymmetric-capital-venture-startups/,,,
Zone7,https://il.linkedin.com/in/eyal-eliakim-9a5668a8,https://zone7.ai/,Seed,"Jul 22, 2021",,
