Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Abstract,https://www.linkedin.com/in/patrick-utz,"https://www.scribbr.es/estructura/ejemplo-de-un-resumen-o-abstract/#:~:text=Un%20resumen%20o%20abstract%20(en,investigado%20y%20las%20conclusiones%20correspondientes.",Seed,"Mar 6, 2024",,
Airia20,https://www.linkedin.com/in/edward-nass-80b16588,https://www.airia20.com/,https://www.crunchbase.com/organization/airia,,,
Alembic,https://www.linkedin.com/in/stephen-matthews-2a006619,https://alembic.sqlalchemy.org/,Seed,"Feb 15, 2024",,
Allocations,https://www.linkedin.com/in/kadvani,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/allocation,Seed,"Sep 15, 2022",,
Allvoices,https://www.linkedin.com/in/clairecschmidt,https://www.allvoices.co/,Seed,"Aug 24, 2021",,
Areto Labs,https://ca.linkedin.com/in/lanacuthbertson,https://www.aretolabs.com/,Seed,"Mar 8, 2023",,
Goauntflow,https://www.linkedin.com/in/clairecoder,https://goauntflow.com/,Seed,"Apr 21, 2022",,
Getballoon,https://www.linkedin.com/in/amandagreenberg,https://getballoon.com/,Seed,"Mar 18, 2022",,
Betterleave,https://www.linkedin.com/in/carakmccarty,https://www.betterleave.com/,Seed,"Nov 9, 2023",,
Cloudeagle,https://www.linkedin.com/in/nidhijain24,https://www.cloudeagle.ai/,https://www.crunchbase.com/organization/cloudeagle,,,
Coolfire,https://www.linkedin.com/in/jeff-keane-30a095b6,https://coolfiretrainer.com/?srsltid=AfmBOooizrvcnhVWXG01vvmCf-z5PMLOQPddJ6QPuKDE8nWGUzHAniqE,Seed,"Oct 3, 2018",,
Cyberpopup,https://www.linkedin.com/in/christineizuakor,https://cyberpopup.com/,https://www.crunchbase.com/organization/cyber-pop-up,,,
Datacy,https://uk.linkedin.com/in/paroma-indilo,https://datacy.es/,Seed,"Aug 2, 2022",,
Duet,https://www.linkedin.com/in/dewanrahul,https://www.duetdisplay.com/es,https://www.crunchbase.com/organization/duet-display,,,
Wlevatek12,https://www.linkedin.com/in/shaily-baranwal-bab4771,https://www.elevatek12.com/,Series a,"May 15, 2024",,
Enklu,https://www.linkedin.com/in/raykallmeyer,https://www.enklu.com/,Seed,"Dec 14, 2022",,
Eenomenon,,https://www.genomenon.com/,Seed,"May 16, 2024",,
Goingpublic,https://www.linkedin.com/in/toddmgoldberg,https://goingpublic.com/,https://www.crunchbase.com/organization/going-public,,,
Groundfloorclub,https://www.linkedin.com/in/jermaine-ijieh,https://groundfloorclub.com/,Pre-seed,Pre-Seed,,
Happioh,https://www.linkedin.com/in/soulaima-gourani-e-mba-8a77b,https://happioh.com/homepage,https://www.crunchbase.com/organization/happioh-inc,,,
Hound,https://mx.linkedin.com/in/ailuna,"https://diccionario.reverso.net/ingles-espanol/hound+dog#:~:text=perro%20de%20caza%20nm.,de%20caza%2C%20s%C3%AD%2C%20se%C3%B1or.",Seed,"Jan 7, 2023",,
Illoominus,https://www.linkedin.com/in/noellelondon,https://www.illoominus.com/,Pre-seed,"Jun 29, 2023",,
Implentio,https://www.linkedin.com/in/weismaneric,https://www.implentio.com/,https://www.crunchbase.com/organization/implement-io,,,
JUICER,https://www.linkedin.com/in/ashwinkamlani,https://listado.mercadolibre.com.co/juicer,Seed,"May 1, 2024",,
Jurny,https://www.linkedin.com/in/lucazambello,https://www.jurny.com/,Seed,"Feb 22, 2024",,
Leadsales,https://mx.linkedin.com/in/robertopenacastroortega,https://leadsales.io/,Seed,"Aug 28, 2023",,
Lectrium,https://www.linkedin.com/in/peter-barba,https://www.lectrium.com/,Seed,"Mar 11, 2024",,
Logoi,https://www.linkedin.com/in/sara-sieteski-phd,https://logoi.org/,Pre-seed,"Jan 1, 2023",,
Letslucia,https://www.linkedin.com/in/gracevanholl,https://www.letslucia.com/,Pre-seed,"Jan 10, 2024",,
Lunchpayments,https://www.linkedin.com/in/cullengallagher,https://www.lunchpayments.com/,https://www.crunchbase.com/organization/lunch-ffef,,,
Marginedge,https://www.linkedin.com/in/davis-bo,https://www.marginedge.com/,Seed,"Dec 7, 2022",,
Mycoitracking,https://www.linkedin.com/in/kristennunery,https://mycoitracking.com/,Seed,"Sep 8, 2021",,
Urnowhere,https://www.linkedin.com/in/jonlmorris,https://now.urnowhere.com/,Seed,Seed,,
Onton,https://www.linkedin.com/in/hudsonzp,https://es.wikipedia.org/wiki/Ont%C3%B3n,Pre-seed,Pre-Seed,,
Openaxis,https://www.linkedin.com/in/adamianou,https://openaxis.in/,Pre-seed,"Dec 31, 2021",,
Takemeoutofoffice,https://www.linkedin.com/in/janseale,https://www.takemeoutofoffice.com/,Seed,"Jan 29, 2024",,
Overwatchid,https://www.linkedin.com/in/andrewcer,https://overwatchid.com/,Seed,"Aug 29, 2018",,
ACQUIRED,https://www.linkedin.com/in/benjamingilbert,https://dictionary.cambridge.org/es/diccionario/ingles/acquired,https://www.crunchbase.com/organization/acquired-com,,,
Pattern89,https://www.linkedin.com/in/rjtalyor,https://es.sharpspring.com/pattern89/,Seed,"Jun 30, 2020",,
ACQUIRED,https://www.linkedin.com/in/benjamingilbert,https://dictionary.cambridge.org/es/diccionario/ingles/acquired,https://www.crunchbase.com/organization/acquired-com,,,
Placer,https://www.linkedin.com/in/noambenzvi,"https://www.fbbva.es/diccionario/placer/#:~:text=1Sensaci%C3%B3n%20o%20sentimiento%20que,y%20se%20desea%20que%20contin%C3%BAe.",Seed,"Jul 23, 2024",,
Plumb,https://www.linkedin.com/in/curiouslychase,https://es.wikipedia.org/wiki/Plumb,https://www.crunchbase.com/organization/plumb,,,
Spacture,https://www.linkedin.com/in/nazimeryilmaz,https://spacture.ai/,Pre-seed,Pre-Seed,,
Sparkwise,https://www.linkedin.com/in/romlevy,https://www.sparkwise.io/,https://www.crunchbase.com/organization/sparkwise-a6e4,,,
Squarepeghires,https://www.linkedin.com/in/clairemctaggart1,https://www.squarepeghires.com/,Pre-seed,Pre-Seed,,
Statusphere,https://www.linkedin.com/in/thekristenwiley,https://joinstatus.com/,https://www.crunchbase.com/organization/statusphere,,,
Askstylo,,https://www.askstylo.com/,Seed,Seed,,
Sumawealth,https://www.linkedin.com/in/beatrizacevedo,https://sumawealth.com/,Seed,"Feb 6, 2024",,
Terrantic,https://www.linkedin.com/in/ksrinivasan11,https://www.terrantic.com/,Seed,"Jun 23, 2024",,
Themomproject,https://www.linkedin.com/in/allison-m-robinson,https://themomproject.com/,Seed,"Oct 6, 2021",,
Upwage,https://www.linkedin.com/in/dianatsai,https://www.upwage.com/,Seed,"Jul 1, 2023",,
Upwards,https://in.linkedin.com/in/abhishek-soni-59a94015,https://dictionary.cambridge.org/es/diccionario/ingles-espanol/upwards,Seed,"Feb 15, 2024",,
Upwave,https://www.linkedin.com/in/christopherkelly,https://www.upwave.io/,Seed,"Jul 26, 2018",,
Vaqat,https://ae.linkedin.com/in/drobaczewski,https://vaqat.com/,Pre-seed,Pre-Seed,,
Getvela,,https://getvela.com/,https://www.crunchbase.com/organization/vela-2,,,
Virtualsapiens,https://www.linkedin.com/in/rachel-cossar,https://www.virtualsapiens.co/,Pre-seed,"Sep 19, 2022",,
Workmade,https://www.linkedin.com/in/itsnicksimpson,https://www.workmade.com/,https://www.crunchbase.com/organization/workmate-c6bf,,,
Zingtree,https://www.linkedin.com/in/juanjaysingh,https://zingtree.com/,Seed,"Jan 20, 2022",,
